,unnamed: 0,unnamed: 0,mth_day,photography,photography_norm,photography_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.9559537606709014,-1.0111684161259809,
2,2,2,01-03,3.1496249074452822,-0.6276080430853472,
3,3,3,01-04,3.1858604531959727,-0.5558445425487547,
4,4,4,01-05,2.0432468963775263,-2.8187592275385915,-1.364555483924781
5,5,5,01-06,2.7299629586285006,-1.4587369764346318,-1.3266950052076605
6,6,6,01-07,2.6004591527497483,-1.7152156978153792,-1.4133592260967696
7,7,7,01-08,3.0706551142926686,-0.7840055438232576,-1.1969231755489942
8,8,8,01-09,2.887068706800584,-1.147593368420002,-0.6798929567722224
9,9,9,01-10,3.8415708089964378,0.7427717607378971,-0.5000125096113095
10,10,10,01-11,3.609631368168074,0.28342208512203865,-0.09273887830272724
11,11,11,01-12,3.27492518516568,-0.3794542934691551,0.014418977268210953
12,12,12,01-13,3.834327249204176,0.7284260900361145,-0.1520009335559741
13,13,13,01-14,3.3952984231379513,-0.14105841039762848,-0.2169420445869842
14,14,14,01-15,2.3828862535418525,-2.1461128333651125,-0.26851863301682
15,15,15,01-16,3.6448265101033033,0.3531250945518363,0.1535240800005673
16,16,16,01-17,3.4533759612489914,-0.026037445456976137,0.14063639398232422
17,17,17,01-18,4.553537397942766,2.1528019846351687,0.03604305228194812
18,18,18,01-19,3.7952829718618415,0.6510999739266558,0.2287959001169326
19,19,19,01-20,3.078424514530132,-0.768618460599885,-0.0014340823841916632
20,20,20,01-21,2.9668464492465496,-0.9895957463552056,0.2968289221669772
21,21,21,01-22,2.947326332292473,-1.0282548004549092,-0.130181404253934
22,22,22,01-23,4.356987630106312,1.7635405818500371,-0.580384362487575
23,23,23,01-24,3.2598754023588885,-0.4092599738902985,-0.7425120635820455
24,24,24,01-25,2.4313570400280384,-2.05011777547519,-0.9155718169466079
25,25,25,01-26,2.5872456545356397,-1.7413846671667084,-0.7953366779051997
26,26,26,01-27,2.442548061033402,-2.0279542665425803,-1.097644579956324
27,27,27,01-28,3.3115883191519933,-0.3068439662064597,-1.113706475050226
28,28,28,01-29,3.441121620199247,-0.05030683045670852,-0.9247821186931544
29,29,29,01-30,3.211214604307005,-0.5056313444537118,-0.5954898380005624
30,30,30,01-31,3.0037185140650293,-0.9165716373327596,-0.23737995256666555
31,31,31,02-01,3.5848630015017102,0.2343690169888437,-0.13774438803050396
32,32,32,02-02,3.5274706504043984,0.12070504606080087,-0.38431047788860057
33,33,33,02-03,3.61344224462808,0.2909694210105099,-0.3150547701061978
34,34,34,02-04,2.694129896315918,-1.5297033696052882,-0.33503813162185136
35,35,35,02-05,3.421030319740181,-0.09009709775929524,-0.2561685974614966
36,36,36,02-06,2.9431773193040107,-1.0364718064266811,-0.024721940942606883
37,37,37,02-07,3.8238045741982036,0.7075862219509724,-0.1962118730455476
38,38,38,02-08,4.228656839630901,1.5093849851741392,-0.1258922697949004
39,39,39,02-09,3.093899755699714,-0.7379701716071344,-0.053982186596199036
40,40,40,02-10,2.907168768308509,-1.1077857501014052,0.19463717553414195
41,41,41,02-11,3.6388876781632553,0.3413634014329128,0.10618373376703287
42,42,42,02-12,3.696389596042472,0.4552443663553648,0.028185253026233387
43,43,43,02-13,3.5558277855528013,0.1768655713483181,-0.006778051109353496
44,44,44,02-14,3.992354193056984,1.0413941007293421,0.037870078791602216
45,45,45,02-15,2.987975624591781,-0.9477499964206556,-0.2474379994178542
46,46,46,02-16,3.0424338550123458,-0.8398969706956709,-0.3455139771658436
47,47,47,02-17,2.774523996595455,-1.3704850678238258,-0.4486936593330501
48,48,48,02-18,3.3992605636938733,-0.13321150013257166,-0.5376554266973735
49,49,49,02-19,3.243236671761877,-0.4422125216549205,-0.42765666761790655
50,50,50,02-20,3.7228373912882207,0.5076234965434011,-0.009463424710014934
51,51,51,02-21,3.3212256782268432,-0.2877574419438535,0.13032678247485593
52,52,52,02-22,4.309383789676558,1.6692624867516788,0.2395489281976563
53,53,53,02-23,3.198029629130453,-0.5317438247146006,0.3512417427726729
54,54,54,02-24,3.7301578049433353,0.5221213742042304,0.5922592523986817
55,55,55,02-25,3.581619002246942,0.2279443657951791,0.7657696237735218
56,56,56,02-26,4.453019246811072,1.9537285542994545,0.6694699749361708
57,57,57,02-27,3.8468892498052454,0.7533047863051864,0.9962906894761268
58,58,58,02-28,4.0176362880806495,1.0914645937275729,0.8935416427422362
59,59,59,02-29,4.188159168417409,1.4291804625251356,0.8142736997173574
60,60,60,03-01,3.4188713356997726,-0.09437290619911323,0.2211163031050184
61,61,61,03-02,3.3414704179752053,-0.24766329235409398,0.03651714432062183
62,62,62,03-03,2.6560013905251516,-1.6052158253745794,-0.10512856995660956
63,63,63,03-04,3.2876313083456985,-0.3542901664011933,-0.4338899817246909
64,64,64,03-05,3.5885092481477487,0.2415903080641845,-0.33632565748268545
65,65,65,03-06,3.1921501313908927,-0.5433880080833525,-0.4993231554259383
66,66,66,03-07,3.7144502727587634,0.4910130392529194,-0.31495457084088796
67,67,67,03-08,2.8476564387399685,-1.2256482800136108,-0.5031974733639994
68,68,68,03-09,3.214560788974377,-0.4990043178642773,-0.5877517052718555
69,69,69,03-10,2.717334353296172,-1.4837475815398626,-0.6746895031631714
70,70,70,03-11,3.3323454281722182,-0.26573508338295176,-0.9956407972631792
71,71,71,03-12,2.9287651072992595,-1.0650147954312483,-1.0270630902305122
72,72,72,03-13,2.742102612947434,-1.4346947253471272,-0.8042217398119131
73,73,73,03-14,2.7524600846689613,-1.414182037817609,-0.7039302127980949
74,74,74,03-15,3.889676513920494,0.8380437846473171,-0.9204836382231188
75,75,75,03-16,3.0211755696534555,-0.8819984194569541,-1.0156257357215313
76,76,76,03-17,2.6762794757771564,-1.5650556359330947,-0.5246125137536556
77,77,77,03-18,2.64052450022666,-1.6358673804217232,-0.276705763328197
78,78,78,03-19,4.229666508446534,1.5113846064601266,-0.5097229146928721
79,79,79,03-20,3.5035134471536584,0.07325846473514191,-0.20810848877270452
80,80,80,03-21,3.1837323847320187,-0.5600591235407334,0.09510431791276117
81,81,81,03-22,3.9349406380610894,0.9276881360640516,0.5016052622592269
82,82,82,03-23,3.5948869667741223,0.2542212041796996,0.09454342177567523
83,83,83,03-24,3.872051679622357,0.8031382856570712,-0.14610387496930802
84,84,84,03-25,2.9964400492650305,-0.9309864364411832,-0.0917875985673634
85,85,85,03-26,2.7744531812150037,-1.3706253157347577,-0.11715180007100187
86,86,86,03-27,3.3482878958639963,-0.2341614651290657,-0.2549078225205389
87,87,87,03-28,3.8580977574483035,0.7755029270422206,-0.19417484631935367
88,88,88,03-29,3.1775440598719094,-0.5723149305175232,-0.0790415246048773
89,89,89,03-30,4.056047096896476,1.1675361428641828,0.20998985295794484
90,90,90,03-31,3.3452456717794945,-0.2401865061543244,0.07769176613941974
91,91,91,04-01,3.6500968964812945,0.36356294964217534,0.0564817174789576
92,92,92,04-02,2.9474802422409354,-1.0279499860402164,-0.09063256882064163
93,93,93,04-03,3.7938402157009934,0.6482426350794479,-0.16059693698651895
94,94,94,04-04,2.7318495428600658,-1.4550006483151183,0.08544378798572895
95,95,95,04-05,3.844084438054318,0.7477499338689189,0.004506348520838227
96,96,96,04-06,4.090645760649372,1.2360578436791632,0.3422310045191928
97,97,97,04-07,3.4048904389859564,-0.12206168714716906,0.2628230392900397
98,98,98,04-08,3.9706441457903066,0.9983979499499114,0.4657718411452244
99,99,99,04-09,3.5532674229429517,0.17179484370452894,0.11983468004720872
100,100,100,04-10,3.3466991981598264,-0.2373078371840105,-0.3250825753997728
101,101,101,04-11,2.7960400923268396,-1.327873032719175,-0.43976420940112426
102,102,102,04-12,2.7427332888936107,-1.4334456890027258,-0.7736734673705866
103,103,103,04-13,3.0574532405872263,-0.8101514911552778,-0.7059649869116332
104,104,104,04-14,2.9590392962557988,-1.005057597866862,-0.5585676917601629
105,105,105,04-15,3.7583956892372448,0.5780457264582489,-0.3291134017112691
106,106,106,04-16,3.793251113162834,0.6470759337248116,0.007245050613927955
107,107,107,04-17,3.4911902477058403,0.0488527075741876,0.06845601308334194
108,108,108,04-18,3.7617581689561153,0.5847050249484562,0.2949808698499303
109,109,109,04-19,3.242896755556784,-0.4428857163387939,0.348172864729171
110,110,110,04-20,3.6453144988024375,0.3540915427326681,0.3325429867153649
111,111,111,04-21,3.9195450994197434,0.8971976957336931,0.3966601117996167
112,112,112,04-22,3.74589914546793,0.5532966656419747,0.4092820783701412
113,113,113,04-23,3.6854382151562417,0.4335554580796986,0.49481064734484903
114,114,114,04-24,3.7999974279423774,0.6604368243716032,0.4505026733729338
115,115,115,04-25,3.502012407739372,0.07028569750945282,0.4162941826347708
116,116,116,04-26,3.5110799417386223,0.08824369890117707,0.5840760207086518
117,117,117,04-27,3.815907735974292,0.6919467513047141,0.5540079730152031
118,118,118,04-28,4.254207666446029,1.5599876940852615,0.5882863358227286
119,119,119,04-29,3.5943446556434067,0.25314717191900593,0.7162621211230249
120,120,120,04-30,3.903846474420051,0.8661070012167567,1.131036874616422
121,121,121,05-01,3.8897253026139618,0.8381404093112309,1.070943895613701
122,122,122,05-02,4.767673288835256,2.576892219861559,0.9987030912804832
123,123,123,05-03,3.633851241488933,0.331388877288389,0.7596395188756558
124,124,124,05-04,4.0353483618488495,1.1265428680859535,0.6514703400254606
125,125,125,05-05,2.8700824094798567,-1.1812342625099572,0.19967364830559609
126,126,126,05-06,3.5761392806739263,0.21709192811558545,-0.5027510586889231
