,unnamed: 0,unnamed: 0,mth_day,police,police_norm,police_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.541070504252192,-1.2555910943436728,
2,2,2,01-03,5.86086512883096,-0.8153650788069725,
3,3,3,01-04,5.978489927301288,-0.6534439820183494,
4,4,4,01-05,4.942888633843531,-2.079042150543133,-1.3704851516836545
5,5,5,01-06,5.690635143373482,-1.0497019389762945,-1.2973901301762645
6,6,6,01-07,4.731696805538093,-2.3697666654135032,-1.7047879696407415
7,7,7,01-08,5.859662238541698,-0.8170209652993334,-1.6206297974088308
8,8,8,01-09,4.085182167883159,-3.2597521155938374,-1.4023748185845912
9,9,9,01-10,6.345301476064407,-0.14849494862688553,-1.3094286938057478
10,10,10,01-11,5.894174108380313,-0.769512277597695,-1.2350822563597654
11,11,11,01-12,6.09574983488208,-0.492025190303235,-1.2154012599142738
12,12,12,01-13,5.0557429574605885,-1.923688040737608,-0.8159497772604859
13,13,13,01-14,5.945443768676152,-0.6989349866263838,-0.8237634472988159
14,14,14,01-15,5.82623016265416,-0.8630432196711113,-0.8647943590835743
15,15,15,01-16,6.311244838042545,-0.1953769688568656,-0.9273400419399884
16,16,16,01-17,5.715336903391401,-1.0156977483062453,-0.6417470455953834
17,17,17,01-18,5.823138415354255,-0.8672992874417198,-0.5553472622491085
18,18,18,01-19,6.300527706544562,-0.21013006266997866,-0.4047338682697925
19,19,19,01-20,6.3220255966977,-0.1805362865487338,-0.2690651258002855
20,20,20,01-21,6.482693235043403,0.04063714420478482,-0.3922088039644169
21,21,21,01-22,6.902570198660528,0.6186354859601764,-0.4556017035360132
22,22,22,01-23,5.178603249251458,-1.7545598172910342,-0.735163733270121
23,23,23,01-24,5.546834319676365,-1.2476566848712975,-1.0558924938244136
24,24,24,01-25,5.0820295098448165,-1.8875022410746256,-1.2544450372455764
25,25,25,01-26,4.924098214582012,-2.1049088498744903,-1.6609106624290513
26,26,26,01-27,5.617282734415183,-1.1506781163221924,-1.23884303593906
27,27,27,01-28,5.13095038398985,-1.8201582651406727,-0.9255886549289284
28,28,28,01-29,7.018225898480816,0.7778459416489147,-0.5922403846005689
29,29,29,01-30,6.912183894266933,0.6318696011894911,-0.1492477461500709
30,30,30,01-31,6.534960248165783,0.11258738089553096,0.018374943876052097
31,31,31,02-01,6.854924556115535,0.5530469808284983,0.2528298737242977
32,32,32,02-02,6.347882471858255,-0.1449419761654545,0.2415431137909468
33,33,33,02-03,6.152844914871482,-0.4134286860511992,0.22398941887521948
34,34,34,02-04,6.969031461602348,0.7101253820488089,0.02331952624992667
35,35,35,02-05,6.835674413989606,0.5265474316951272,-0.07822182872653835
36,36,36,02-06,5.660321075856116,-1.0914319748562258,0.06881287705821854
37,37,37,02-07,6.412346720896107,-0.05620114903029176,0.3609700229778172
38,38,38,02-08,6.988747484969673,0.7372662585430868,0.33199948160169884
39,39,39,02-09,7.426240145956906,1.3395141894663924,0.33041476202259706
40,40,40,02-10,6.8427605497128114,0.5363021337920993,0.5101223166464924
41,41,41,02-11,6.828767260141686,0.5170391142205164,0.3239129788914918
42,42,42,02-12,6.443593866695428,-0.013186647112854038,0.3335403259087589
43,43,43,02-13,5.600735278244459,-1.1734571755602954,0.029957464466100408
44,44,44,02-14,7.0307092098530575,0.7950303406466892,-0.2080286717950414
45,45,45,02-15,6.1030448265902,-0.4819829791895584,-0.3674267734442662
46,46,46,02-16,5.805474913499813,-0.8916146837747515,-0.690915878744828
47,47,47,02-17,6.134015188117912,-0.43934949567483256,-0.4956816100843876
48,48,48,02-18,5.033635254520357,-1.9541212789162248,-0.6048515716297989
49,49,49,02-19,6.451682756780799,-0.002051563597652721,-0.6605012537221197
50,50,50,02-20,6.5548813536760795,0.1400105713742215,-0.5714681034960248
51,51,51,02-21,5.860490294628542,-0.8158810717434829,-0.3176820303039563
52,52,52,02-22,6.193534526245421,-0.3574157824181834,-0.07850917755623127
53,53,53,02-23,7.24016638048893,1.083366943477579,-0.21605678089268812
54,54,54,02-24,6.07609330953526,-0.5190841624298751,0.10700379828196087
55,55,55,02-25,5.852168199008948,-0.8273371836163941,0.4031853133264352
56,56,56,02-26,7.9629721932063475,2.0783740464221157,0.5537174271017054
57,57,57,02-27,7.151426128513925,0.9612080185233632,0.394929005071883
58,58,58,02-28,6.849643330989117,0.5457769002334373,0.5789762473722375
59,59,59,02-29,6.548071656165463,0.13063641129864506,0.5482227310476923
60,60,60,03-01,6.878281049636582,0.5851992913722519,-0.048488662372621866
61,61,61,03-02,5.718126018032957,-1.0118582815636656,-0.14381017310903602
62,62,62,03-03,5.362147762490976,-1.5018943140997694,-0.3537044888122543
63,63,63,03-04,6.735958087129744,0.3892789541048783,-0.33241612873865023
64,64,64,03-05,5.9347986168297995,-0.7135889939858724,-0.6113314628877021
65,65,65,03-06,6.640859036429702,0.2583665717402697,-0.5406897199952808
