,unnamed: 0,unnamed: 0,mth_day,political,political_norm,political_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.8560868381901388,-0.4755510053311269,
2,2,2,01-03,1.6353169196406363,-1.0133793225065502,
3,3,3,01-04,1.4383544416379226,-1.4932091778912555,
4,4,4,01-05,1.560542372046894,-1.1955412282775968,-1.0404075747646773
5,5,5,01-06,1.5830012265669575,-1.1408281223817631,-1.1560062036641623
6,6,6,01-07,1.6720317292817062,-0.923936592199772,-1.1036460207189136
7,7,7,01-08,1.5713785131922635,-1.1691427787280366,-0.9403243775964114
8,8,8,01-09,1.7642750234247764,-0.699218224835058,-0.738664151480379
9,9,9,01-10,1.8405999690458648,-0.5132793191562426,-0.6545465842314384
10,10,10,01-11,2.057212148693736,0.014420128418597024,-0.4925816261444294
11,11,11,01-12,1.7901747190412158,-0.6361227188881187,-0.4719671864611725
12,12,12,01-13,2.070935871695015,0.04785315632228202,-0.6479709917981981
13,13,13,01-14,1.6221498990544014,-1.0454561406284948,-0.5826662876303902
14,14,14,01-15,1.330794548026336,-1.7552410568572114,-0.8071724166985922
15,15,15,01-16,2.0014391858696654,-0.1214510941493954,-0.4554844709086914
16,16,16,01-17,1.504275106383804,-1.3326166459906157,-0.40534909712001865
17,17,17,01-18,2.6563483659176823,1.4740049558512864,-0.24661282556306685
18,18,18,01-19,2.194414484118064,0.3486653990543186,0.05404817018835628
19,19,19,01-20,2.01310209651242,-0.09303851128678413,0.015478550846267841
20,20,20,01-21,2.0712937157717617,0.04872491765132745,-0.08445157150751323
21,21,21,01-22,1.9064459162847824,-0.3528688102019261,-0.5415882744602117
22,22,22,01-23,1.2581568087618114,-1.9321973801133017,-0.6921881915343997
23,23,23,01-24,1.5304645536980563,-1.2688152618649051,-1.0244398674377504
24,24,24,01-25,1.823501346624943,-0.554934103390809,-1.1623039959800878
25,25,25,01-26,1.1947981163983328,-2.086548566706888,-1.340141714568012
26,26,26,01-27,1.7317476027403509,-0.7784598536026978,-1.1210619176918006
27,27,27,01-28,1.4684486886131916,-1.4198951217294726,-1.0705726126351212
28,28,28,01-29,1.7977293158348495,-0.6177185988560333,-0.9376242715971244
29,29,29,01-30,1.6548148648552332,-0.9658794315248274,-0.5682395003585095
30,30,30,01-31,2.150940346970586,0.2427559428371713,-0.5804901535690461
31,31,31,02-01,2.1045573453811763,0.12976006072480115,-0.4592803473269231
32,32,32,02-02,1.7015754199998918,-0.8519637728659175,-0.5381623963127767
33,33,33,02-03,1.7669768047080492,-0.6926362842767348,-0.5231777193940407
34,34,34,02-04,1.6034504022095792,-1.091010892771155,-0.7889630179219155
35,35,35,02-05,1.691720685510574,-0.8759713700124105,-1.0237281718285858
36,36,36,02-06,1.4963366732650012,-1.3519558483300775,-1.0315334391701216
37,37,37,02-07,1.526353309806026,-1.2788308627152198,-1.066586921056605
38,38,38,02-08,1.682351795878004,-0.8987953769151331,-1.0233239600991846
39,39,39,02-09,1.680643444111516,-0.9029571755956358,-0.936379675414956
40,40,40,02-10,1.7100029216113948,-0.8314331270266317,-0.6655780033750703
41,41,41,02-11,1.9058561116505242,-0.3543056619070391,-0.5379523476119237
42,42,42,02-12,2.163295193336542,0.2728541839092365,-0.36937586107269627
43,43,43,02-13,1.8406830473211289,-0.5130769281363402,-0.2206280527303625
44,44,44,02-14,2.0975394981330444,0.11266354232023125,-0.2461990328297277
45,45,45,02-15,2.0469950156087404,-0.010470325541633236,-0.1948029667780992
46,46,46,02-16,1.6470240525542663,-0.9848590076228226,-0.1301310662436633
47,47,47,02-17,2.032439688085179,-0.04592926559726755,-0.2293263842749045
48,48,48,02-18,2.3225758755633055,0.6608855871158515,-0.25740354744176724
49,49,49,02-19,1.596374502201075,-1.1082488363237877,-0.14466349812647875
50,50,50,02-20,2.0283881407853697,-0.055799436680945225,-0.04564395361867637
51,51,51,02-21,2.32466293352707,0.6659699703500978,-0.05473692615595013
52,52,52,02-22,1.8908996843611288,-0.3907417405760085,0.02310899759568369
53,53,53,02-23,2.0100445696916043,-0.10048710082091017,0.20323239211824426
54,54,54,02-24,2.5143029122093146,1.1279611296256544,0.2391274847084183
55,55,55,02-25,2.040001130264637,-0.027508469188424117,0.2780604419319217
56,56,56,02-26,2.116794307746729,0.15957111886009911,0.2915702906318564
57,57,57,02-27,2.4205510694318284,0.8995677136911179,0.36320821978612217
58,58,58,02-28,1.9241731447036183,-0.3096826483764002,0.08182157854905553
59,59,59,02-29,2.1864819116393366,0.32934047410468426,-0.09348771472115937
60,60,60,03-01,1.8212746292091504,-0.5603587177967455,-0.13905778606329375
61,61,61,03-02,1.6082311714105104,-1.0793642288097134,-0.27347866151878786
62,62,62,03-03,2.0045595969602017,-0.11384930919270715,-0.16565265898758327
63,63,63,03-04,2.0894853581857307,0.09304246095815333,-0.4388320206710757
64,64,64,03-05,2.189738237163056,0.3372733668108275,-0.2608046573197444
65,65,65,03-06,1.5136673702443535,-1.3097356959962705,-0.2714315981443425
66,66,66,03-07,2.2597389337262728,0.5078054623112422,-0.1289707315631096
67,67,67,03-08,1.5820580363930208,-1.143125873757303,-0.20758615421811547
68,68,68,03-09,2.3554270344741544,0.7409158902946906,-0.1463464992132378
69,69,69,03-10,1.895863119616027,-0.378650074971882,-0.028353553542694795
70,70,70,03-11,2.340565628161325,0.7047112968400935,-0.1804038901361001
71,71,71,03-12,1.8042726675843053,-0.6017780219730122,0.017592583221295942
72,72,72,03-13,1.885253552204032,-0.4044965572491897,-0.14511061664907754
73,73,73,03-14,2.0697043417318706,0.04485296638707369,-0.21226123519343268
74,74,74,03-15,1.954704673422908,-0.2353033089275504,-0.19568280485921194
75,75,75,03-16,1.7304775928987652,-0.7815537862380126,-0.3831600951394109
76,76,76,03-17,2.381396710471601,0.8041818788454179,-0.3371405267238765
77,77,77,03-18,1.3425341002763185,-1.7266417636542062,-0.2731757773424649
78,78,78,03-19,1.9985953311286289,-0.12837914675598364,-0.233846487228962
79,79,79,03-20,2.2272433785583847,0.4286414626755432,-0.13298631087373
80,80,80,03-21,2.051568939186018,0.0006724317534669487,-0.32228659206006105
81,81,81,03-22,1.9788865242370184,-0.17639272810662054,-0.06605343739836766
82,82,82,03-23,1.915168291577031,-0.3316198082725679,0.07554014608923916
83,83,83,03-24,1.9736117606877144,-0.18924283568404604,-0.013085499761035244
84,84,84,03-25,2.347326733646007,0.7211823541696574,-0.02116484648207195
85,85,85,03-26,2.0089669212846006,-0.10311241242610326,0.3048239416650403
86,86,86,03-27,2.0316702838652567,-0.04780364857275327,0.4811336862104159
87,87,87,03-28,2.7817656130725177,1.7795400007760531,0.4747144880847858
88,88,88,03-29,2.349402265874115,0.7262386589996859,0.3097714151473075
89,89,89,03-30,1.9578018919758045,-0.22775802443782675,0.20700055810679388
90,90,90,03-31,1.9410877802682387,-0.26847608345521273,0.23674594766914106
91,91,91,04-01,1.7558521668523266,-0.7197375546691851,-0.13933774079032965
92,92,92,04-02,2.1049303226678697,0.13066868880132956,-0.2103100000986896
93,93,93,04-03,1.8555075941004984,-0.4769621299807709,-0.17099357939519166
94,94,94,04-04,2.1746044048495885,0.30040510314952623,0.1031365111965437
95,95,95,04-05,2.0546344616175927,0.00814049978316058,0.175771847533414
96,96,96,04-06,2.6162438756900284,1.3763044600951997,0.2410306206933672
97,97,97,04-07,1.9347460269352963,-0.28392553664796344,0.21031214379407026
98,98,98,04-08,2.265656415828905,0.5222213277610488,0.023077973751086882
99,99,99,04-09,1.7798509346076823,-0.6612729913765524,0.008258139078486767
100,100,100,04-10,1.7134646193452414,-0.8229999171083741,-0.28418050313783144
101,101,101,04-11,2.0181346315888984,-0.0807785082524401,-0.18989086442007488
102,102,102,04-12,1.895995575319125,-0.3783273932027097,-0.3247745126056832
103,103,103,04-13,2.16697235487323,0.2818122956585757,-0.2187097942110728
104,104,104,04-14,1.9334509397767723,-0.28708056135260085,0.19278232266115566
105,105,105,04-15,2.041078153329784,-0.02488468100888973,0.17697183348471202
106,106,106,04-16,2.726930198131565,1.6459527841249963,0.4820806285442165
107,107,107,04-17,1.9791949146244665,-0.1756414433111022,0.31187133020978225
108,108,108,04-18,2.647449245751876,1.4523253771543172,0.31137903210296064
109,109,109,04-19,1.747763193923776,-0.7394434943480295,0.23229327711752565
110,110,110,04-20,1.9322384568024744,-0.2900343499935305,0.17629783504860566
111,111,111,04-21,1.8462975313842247,-0.4993992109214999,0.04637020633406628
112,112,112,04-22,2.589018800126837,1.3099801317114763,-0.2280115538988887
