,unnamed: 0,unnamed: 0,mth_day,poverty,poverty_norm,poverty_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4141387069760275,-1.3627626092840155,
2,2,2,01-03,0.4185474425830168,-1.3390163317026935,
3,3,3,01-04,0.4184387537646521,-1.3396017500813278,
4,4,4,01-05,0.4935908054900277,-0.9348186920436644,-1.3519129291090233
5,5,5,01-06,0.3842290069562572,-1.5238618682002405,-1.2992235848856717
6,6,6,01-07,0.3679736405051169,-1.6114163233421972,-1.1925623936540812
7,7,7,01-08,0.4728325516489586,-1.0466265439439053,-1.0834328981228545
8,8,8,01-09,0.5373637892856615,-0.6990491843131523,-0.8216562327043707
9,9,9,01-10,0.5400046937921691,-0.6848247768939651,-0.44594030441647
10,10,10,01-11,0.7851996528869317,0.6358413004672366,-0.11862127496557727
11,11,11,01-12,0.8027616848843818,0.7304337015271642,-0.016733508027540662
12,12,12,01-13,0.7325940880788548,0.352497853363159,0.0025067835857952026
13,13,13,01-14,0.5863314925616171,-0.4352999423156856,0.1573780127126812
14,14,14,01-15,0.5587967128503951,-0.5836074346331371,-0.052669948663060205
15,15,15,01-16,0.7125251151537756,0.2444025978673509,-0.2661850559874934
16,16,16,01-17,0.551214535012004,-0.6244464677872118,-0.2831669084928731
17,17,17,01-18,0.5649143036093204,-0.5506569424194351,0.11321410974803385
18,18,18,01-19,0.7136769763193269,0.2506067383308808,0.3070083514150302
19,19,19,01-20,1.0278842630289906,1.942986167129756,0.09187911503388828
20,20,20,01-21,0.774675830090765,0.579158015368841,0.3250390477404783
21,21,21,01-22,0.4728796579767837,-1.0463728204195006,0.14593973392426604
22,22,22,01-23,0.8109454744638276,0.7745131284523281,0.13274126510164894
23,23,23,01-24,0.3654047545514217,-1.625252825316709,-0.3091978493643601
24,24,24,01-25,0.6989744042829135,0.17141592539517794,-0.245742702160282
25,25,25,01-26,0.5355815759922344,-0.7086485196662976,-0.3633882485153674
26,26,26,01-27,0.8453623533070377,0.9598888985933092,-0.7286940034358538
27,27,27,01-28,0.34182717429134074,-1.7522460985500126,-0.7444665613882758
28,28,28,01-29,0.40400931776123206,-1.4173214010705903,-0.7132636303036826
29,29,29,01-30,0.3478347490749828,-1.7198881730312408,-0.6316660297254179
30,30,30,01-31,0.7337332348854703,0.35863351190273723,-0.6142032826345681
31,31,31,02-01,0.6264780744136732,-0.21906291619670998,-0.3120265557313155
32,32,32,02-02,0.8648151626069256,1.0646653811384077,-0.22168940141943785
33,33,33,02-03,0.6784400916480486,0.06081426286950348,0.27679994975114225
34,34,34,02-04,0.5046413332385857,-0.8752984751993246,0.0299176098579284
35,35,35,02-05,0.9031321622424268,1.2710479339922398,-0.17778418791087228
36,36,36,02-06,0.4587160767907232,-1.1226605274565458,-0.5147001909802417
37,37,37,02-07,0.3951064899647704,-1.4652737028095142,-0.6365174738466557
38,38,38,02-08,0.4895040661515976,-0.9568306372778088,-0.4687436856561111
39,39,39,02-09,0.5427404585546651,-0.6700894343289808,-0.7483763782706788
40,40,40,02-10,0.6915346948735703,0.1313442539439426,-0.5215577714188039
41,41,41,02-11,0.591632407069561,-0.40674822169516617,-0.21401104061134849
42,42,42,02-12,0.7113830301515579,0.2382511136547045,-0.24759153973443296
43,43,43,02-13,0.7377013791924931,0.38000668203521815,-0.2097685890895496
44,44,44,02-14,0.452096718828867,-1.158313632016316,-0.4766198525571328
45,45,45,02-15,0.5848737290089753,-0.4431517304596807,-0.5072271919388179
46,46,46,02-16,0.3942729460397301,-1.4697633268615562,-0.6672880914596235
47,47,47,02-17,0.5575370420578983,-0.5903922579852773,-0.8925313732209331
48,48,48,02-18,0.5330815213140244,-0.7221142834701288,-0.8816388068599549
49,49,49,02-19,0.4867892756506859,-0.9714530085326388,-0.9923332576922702
50,50,50,02-20,0.464230606762084,-1.0929582338504475,-0.839633623087662
51,51,51,02-21,0.4615644906976009,-1.1073184354535717,-0.875666576250055
52,52,52,02-22,0.5643742970283433,-0.5535655192339063,-0.7314659814756898
53,53,53,02-23,0.5173977579731447,-0.8065899769596345,-0.3365710658200882
54,54,54,02-24,0.6937152782185143,0.14308928517606245,-0.2630535906327282
55,55,55,02-25,0.9266865866395696,1.397916485400971,-0.0587572902018911
56,56,56,02-26,0.5461261652093757,-0.6518533827262875,0.1131177891032674
57,57,57,02-27,0.6891424858594325,0.118459367131451,0.21353933441508569
58,58,58,02-28,0.7558363346866848,0.4776849565970447,-0.04480872234632514
59,59,59,02-29,0.6292633860090943,-0.2040607050887249,-0.5489459255647884
60,60,60,03-01,0.4059257652037092,-1.4069990553924026,-0.4687935915447801
61,61,61,03-02,0.3650976897628402,-1.6269067339098089,-0.3547182390484904
62,62,62,03-03,0.6354126938706731,-0.1709393786062376,-0.4932475363665862
63,63,63,03-04,0.8162179148502464,0.8029114821091887,-0.5510598553124192
64,64,64,03-05,0.6015201787487436,-0.35349082731153003,-0.4891730413901669
65,65,65,03-06,0.5648627501992295,-0.5509346187637233,-0.2630024977268676
66,66,66,03-07,0.4748652271992412,-1.0356781718588892,-0.3834948740594563
67,67,67,03-08,0.6170427263739188,-0.2698834719300124,-0.6352145445726021
68,68,68,03-09,0.5011889542325745,-0.8938936366017698,-0.3837145245309848
69,69,69,03-10,0.5358121618465487,-0.7074065409696862,0.044957231047654124
70,70,70,03-11,0.8816812498182046,1.1555092929381734,0.22626766268136586
71,71,71,03-12,1.0423861243932533,2.0210959147081105,0.4940465102297756
72,72,72,03-13,0.6768378740171676,0.05218441794338127,0.5005841176660932
73,73,73,03-14,0.9153377671715066,1.3367896133604458,0.4950341834878496
74,74,74,03-15,0.508471590239074,-0.854667991983864,0.2608620547761561
75,75,75,03-16,0.5296297547696648,-0.7407061460391479,-0.44200205489680977
76,76,76,03-17,0.6208227640668813,-0.2495234793319878,-0.6791711265147483
77,77,77,03-18,0.2594233168766715,-2.196088743329685,-0.7844844231351097
78,78,78,03-19,0.4126409124501816,-1.3708300117642496,-0.7201255519360971
79,79,79,03-20,0.7980229217327907,0.7049098336382775,-0.6778031128295611
80,80,80,03-21,0.5801648262274973,-0.468514764789788,-0.5591847030927815
81,81,81,03-22,0.576775277336212,-0.4867715113999322,-0.30122080015090896
82,82,82,03-23,0.7529589790656444,0.4621869790886897,-0.14758705564657595
83,83,83,03-24,0.5467848977365628,-0.6483053256784499,-0.2788395647404771
84,84,84,03-25,0.5837828249065838,-0.4490275447382512,-0.21560712623192746
85,85,85,03-26,0.6518128199514204,-0.08260522092512948,-0.0897044432796753
86,86,86,03-27,0.6506032607690041,-0.08912013373849019,0.08391563017557324
87,87,87,03-28,0.7170258844756663,0.2686445863135807,0.4958479633533723
88,88,88,03-29,0.9463648711619228,1.5039074198201807,0.5844769528251254
89,89,89,03-30,1.005661217715134,1.823288673388344,0.6907298040627602
90,90,90,03-31,0.6825120123400539,0.08274639209226728,0.7711621891115317
91,91,91,04-01,0.7701742920578399,0.5549118865006792,1.0793901182023091
92,92,92,04-02,0.7402017551953913,0.3934741765541387,0.9286315320496376
93,93,93,04-03,1.060379601637616,2.1180121608582456,0.4489616378589054
94,94,94,04-04,0.7784257713461022,0.599355902904152,0.4547150052590691
95,95,95,04-05,0.4713279349821423,-1.054730691756049,0.6338797166488571
96,96,96,04-06,0.6889210359767887,0.1172665964932492,0.6671004894077623
97,97,97,04-07,0.9697566914250759,1.6299001548394076,0.4230398453389124
98,98,98,04-08,0.7772083815819418,0.5927988131075708,0.1485550412554151
99,99,99,04-09,0.7885057010434258,0.6536482964451465,0.22538247164500744
100,100,100,04-10,0.4726605603071581,-1.047552921596832,0.14451184076405807
101,101,101,04-11,0.5569106525576755,-0.5937661094184948,0.00888458664295603
102,102,102,04-12,0.5988343530336993,-0.36795718879244704,-0.19832889887684524
103,103,103,04-13,0.8186732967816471,0.8161366301127955,-0.3082138352248405
104,104,104,04-14,0.5463807576570715,-0.6504821000112371,-0.07767778870658881
105,105,105,04-15,0.6660982298370233,-0.0056613216428252925,-0.06721528264654397
106,106,106,04-16,0.7294685943661011,0.3356633575126783,0.12890160980166798
107,107,107,04-17,0.5685654703321148,-0.5309910730582258,0.015174766678659654
108,108,108,04-18,0.8173008113425828,0.8087441658968247,-0.06051027903169665
109,109,109,04-19,0.6919860934429826,0.13377557137474555,0.10064679293382436
110,110,110,04-20,0.4620706114127659,-1.1045923742733748,0.1583545631031512
111,111,111,04-21,0.8456208314050364,0.9612811101503008,0.34862800543552114
112,112,112,04-22,0.7937527669756841,0.6819099785286393,0.1129070166583453
113,113,113,04-23,0.7805225564233566,0.6106495809359941,0.2038565942807947
114,114,114,04-24,0.5547169567630167,-0.6055817667662304,0.6410574789330475
115,115,115,04-25,0.7933003242561812,0.6794730371094418,0.5352727735086806
116,116,116,04-26,0.9490950979174684,1.5186129336401415,0.5219997417714722
117,117,117,04-27,0.7277808552111822,0.3265728776040997,0.4534374215703622
118,118,118,04-28,0.778967134802693,0.6022717881053891,0.466370137809259
119,119,119,04-29,0.7041468445670641,0.19927565972933373,0.31055176703120585
120,120,120,04-30,0.5691234909363626,-0.5279854693328495,-0.2320279754019555
121,121,121,05-01,0.6197248245713143,-0.2554371875588769,-0.423996232204038
122,122,122,05-02,0.3446827334352994,-1.736865520958826,-0.44697084393382097
123,123,123,05-03,0.5139358128604534,-0.8252366632083953,-0.5338897709754755
124,124,124,05-04,0.7533743263863918,0.4644241177266909,-0.4410403167592965
125,125,125,05-05,0.6073225990176255,-0.3222379025205934,-0.5149107370769247
126,126,126,05-06,0.6725541091013835,0.029111255964224782,-0.3217101319317524
127,127,127,05-07,0.5374360992141021,-0.6986597094646465,-0.1687598606176616
128,128,128,05-08,0.5599005630791409,-0.5776618900877919,-0.4558832205529305
129,129,129,05-09,0.6843163632263324,0.09246496467614954,-0.6298447175742135
130,130,130,05-10,0.4335302642061333,-1.2583160418849222,-0.5821064262272335
131,131,131,05-11,0.4135363745781021,-1.3660068846482911,-0.2815036644466532
132,132,132,05-12,0.7257326767714088,0.3155410040461044,-0.07327907951964936
133,133,133,05-13,0.8722956817022048,1.1049568612188356,0.15310247980668276
134,134,134,05-14,0.7918545117368391,0.6716856194742311,0.2765548941501022
135,135,135,05-15,0.936496462936642,1.4507543206341422,0.4915543258154094
136,136,136,05-16,0.5710513690666421,-0.5176015558244054,0.4694427049263708
137,137,137,05-17,0.6530372344377176,-0.07601029465644803,0.5553465026266061
138,138,138,05-18,0.7011012060052043,0.18287127871187225,0.8851161016401398
139,139,139,05-19,0.9679891133315532,1.6203796474202474,0.7176155474321675
140,140,140,05-20,1.1592047968401569,2.6503032135554325,0.5656941650199895
141,141,141,05-21,0.749907473147025,0.44575099538630863,0.2817992408610284
142,142,142,05-22,0.4018169602268101,-1.4291298502974734,0.21099071717756693
143,143,143,05-23,0.33678952197075,-1.7793798396102145,-0.16651385126995602
144,144,144,05-24,0.6222233123464953,-0.2419798633888968,-0.7988515395932089
145,145,145,05-25,0.5474639610378412,-0.6446477632648903,-1.0125426066381822
146,146,146,05-26,0.4548056321446057,-1.1437229163840854,-0.9173179170358252
147,147,147,05-27,0.511864079705589,-0.8363954068835313,-0.8188784966560368
148,148,148,05-28,0.5078934966296249,-0.8577817126833323,-0.6992005857031957
149,149,149,05-29,0.446447141260382,-1.1887433173314836,-0.6995790831866427
150,150,150,05-30,0.7555397697780107,0.4760876023281499,-0.3423639793915789
151,151,151,05-31,0.5470423298175253,-0.6469187481655726,-0.4251588261187193
152,152,152,06-01,0.8527291236212795,0.9995677063862975,0.02802590363826607
153,153,153,06-02,0.4196338964464816,-1.3331644872463742,0.5084998428521145
154,154,154,06-03,1.0127233541383107,1.86132666585858,0.4965717520034915
155,155,155,06-04,0.9816760983349784,1.6941003179516072,0.6455631758008717
156,156,156,06-05,0.7422523485387954,0.4045190572364116,0.533825301804697
157,157,157,06-06,0.7130128806919579,0.2470297946187092,0.7173703954806855
158,158,158,06-07,0.7282575531911355,0.3291404624092491,0.6656896470261167
159,159,159,06-08,0.6240958683592487,-0.2318939251904432,0.5472642653101061
160,160,160,06-09,0.9551530452440709,1.551242175131167,0.6462894192590728
161,161,161,06-10,0.8497549089136928,0.9835480276555432,0.7312094783976241
162,162,162,06-11,0.8525624518484095,0.9986699809302126,0.7115000001039299
163,163,163,06-12,0.8076104664877823,0.756550149450016,0.9047875851707318
164,164,164,06-13,0.7063019742290827,0.21088359264708545,0.7653858025148897
165,165,165,06-14,0.8394105901941972,0.9278315852103683,0.5829795752325334
166,166,166,06-15,0.7998649751620476,0.7148314791961142,0.3960951591636792
167,167,167,06-16,0.6465615891012008,-0.1108893360385947,0.09270447362476693
168,168,168,06-17,0.6443806069190252,-0.12263651548291302,0.5025211290938298
169,169,169,06-18,0.4696452472444021,-1.0637939637834577,0.4124259811492583
170,170,170,06-19,1.1628215129524508,2.669783525461463,0.07933838266088061
171,171,171,06-20,0.7390481602344067,0.3872606975429391,0.018845117400133404
172,172,172,06-21,0.4288185699290916,-1.2836941117341516,0.14480187334878825
173,173,173,06-22,0.5791744851751832,-0.47384892760307795,0.36876092915101616
174,174,174,06-23,0.7846914492369323,0.633104020209016,0.11477380671065154
175,175,175,06-24,0.7191267738815555,0.27996037102990984,0.09726565083904448
176,176,176,06-25,0.8798899082195047,1.1458607908192755,0.21366497105846533
177,177,177,06-26,0.7195447673494724,0.2822117623132966,0.4920145314939495
178,178,178,06-27,0.558482807009605,-0.5852981904176265,0.04675306947346408
179,179,179,06-28,0.8892448818710348,1.1962484350098264,0.19919076725188625
180,180,180,06-29,0.2886877984818708,-2.0384647519138963,-0.008329244592454247
181,181,181,06-30,0.8889363376100139,1.1945865577004429,-0.009967746133830854
182,182,182,07-01,0.6487208260976145,-0.09925928024676736,0.0444128702278676
183,183,183,07-02,0.7177195414639831,0.2723807530650369,-0.0089081793272718
184,184,184,07-03,0.6190606619250432,-0.25901449224743583,0.36574888304433695
185,185,185,07-04,0.829847342453568,0.8763221376789899,0.0355636581296798
186,186,186,07-05,0.7060409416760489,0.20947762231575626,-0.0812402819019843
187,187,187,07-06,0.5211230616981716,-0.7865247917875001,-0.01538692004402198
188,188,188,07-07,0.5186058585561046,-0.8000829204367521,0.03836148229147518
189,189,189,07-08,0.7910775809130398,0.6675009242128109,-0.2692479086540695
190,190,190,07-09,0.6789342554304967,0.06347592176554713,-0.2114921937730838
191,191,191,07-10,0.4871826523113262,-0.969334207994278,-0.4015073840770222
192,192,192,07-11,0.7703785227973617,0.5560119116016702,-0.4984294930222105
193,193,193,07-12,0.3094536581481849,-1.92661593361113,-0.7568376155798852
194,194,194,07-13,0.4106384641682169,-1.3816155741078822,-0.9496995251292736
195,195,195,07-14,0.5032211569778573,-0.8829478111332371,-0.9480524693025212
196,196,196,07-15,0.4640937192789801,-1.0936955355307845,-0.9631546014654221
197,197,197,07-16,0.4890174073322519,-0.9594518730337612,-0.4070311427649045
198,198,198,07-17,0.7535553451232974,0.4653991186242646,-0.004188517819861515
199,199,199,07-18,0.9289531866595871,1.4101248185919746,0.02295582098770712
200,200,200,07-19,0.8593892088336076,1.0354401755623759,0.07401279465789078
201,201,201,07-20,0.5334588763726404,-0.7200817782878252,-0.08573404063349238
202,202,202,07-21,0.5209691677446976,-0.7873536935096825,-0.325353435335412
203,203,203,07-22,0.3110657536195213,-1.91793288478206,-0.7571961984297189
204,204,204,07-23,0.4866288205942059,-0.9723172495872532,-0.9981822735325104
205,205,205,07-24,0.44789743556232575,-1.1809317599738662,-0.9709220766673452
206,206,206,07-25,0.5909402564142338,-0.4104762750543737,-0.8824713794111348
207,207,207,07-26,0.5638256570593589,-0.5565205970968329,-0.6986001249046769
208,208,208,07-27,0.6194997447046516,-0.2566495099724199,-0.5628908390673589
209,209,209,07-28,0.5158910557920239,-0.8147053577433127,-0.274247641874737
210,210,210,07-29,0.6378035953236997,-0.15806153456334499,0.11134962741439296
211,211,211,07-30,0.7694345363109346,0.5509274231818659,0.12541078337169287
212,212,212,07-31,1.0204803572365946,1.903107340680406,0.29147024764653906
213,213,213,08-01,0.5794892284293334,-0.4721536613530336,0.5718128143532312
214,214,214,08-02,0.8044834173292633,0.7397072756766572,0.6409236838747552
215,215,215,08-03,0.828181582615489,0.8673500424968402,0.4563607785205943
216,216,216,08-04,0.7147903694181429,0.2566036825657989,0.15713722654121942
217,217,217,08-05,0.5638387624610679,-0.5564500089430996,0.010015314445706108
218,218,218,08-06,0.6871571598949872,0.10776602880415677,-0.14639658163393232
219,219,219,08-07,0.4156012396186544,-1.3548851339261134,-0.1292536297616455
220,220,220,08-08,0.6302467539428132,-0.19876410080117346,0.06623606283261953
221,221,221,08-09,0.8472781526954332,0.9702077537305612,0.28067023332144103
222,222,222,08-10,0.9325581519065342,1.4295418381313891,0.21720348145280355
223,223,223,08-11,0.8027099437361169,0.7301550139898291,0.4236572672020541
224,224,224,08-12,0.6164577095415643,-0.2730344824076676,0.27802003762920074
225,225,225,08-13,0.6455825880586421,-0.11616241943061065,-0.12958910998952014
226,226,226,08-14,0.4680126427170255,-1.0725874782382934,-0.42055816974915977
227,227,227,08-15,0.3932176903715171,-1.4754471319817641,-0.6108982653218326
228,228,228,08-16,0.6084301322871111,-0.3162725204264485,-0.7556009785483196
229,229,229,08-17,0.5906786085724879,-0.41188555944620747,-1.06022854470864
230,230,230,08-18,0.4552646125490421,-1.1412507617665906,-0.996835246908558
231,231,231,08-19,0.3062395327434341,-1.943927816392532,-0.7007953211056869
232,232,232,08-20,0.5386302681444799,-0.6922276914378028,-0.4590446677276401
233,233,233,08-21,0.7229944541210062,0.30079242283546337,-0.5206612364026131
234,234,234,08-22,0.8777307946525774,1.134231399841832,0.03598099485867793
235,235,235,08-23,0.5220401890894641,-0.7815849714960448,0.2856365181829728
236,236,236,08-24,1.0753420331665513,2.1986026258011555,0.4266364111788214
237,237,237,08-25,0.5843459074521409,-0.44599467644676255,0.9312880041878412
238,238,238,08-26,0.6956985699118499,0.15377166653728866,0.6099823740724613
239,239,239,08-27,1.2851563608712364,3.328701980889581,0.6567166247199417
240,240,240,08-28,0.5198090360027087,-0.7936023808504471,0.1966134669086657
241,241,241,08-29,0.5741002951477466,-0.5011794676111623,0.17250633629672485
242,242,242,08-30,0.5628053205511091,-0.5620163210665005,0.2840489984272013
243,243,243,08-31,0.5574915178121912,-0.5906374601184078,0.036602543041484914
244,244,244,09-01,0.8199526820476746,0.823027639320147,0.16561954345130442
245,245,245,09-02,1.0095108004385482,1.8440232485752832,0.4136956890710295
246,246,246,09-03,0.6635288695637672,-0.01950037839153009,0.2529806331806195
247,247,247,09-04,0.8504473055857774,0.9872774061071881,0.3414002986655029
248,248,248,09-05,0.3837751074012461,-1.5263066564089605,0.28587707066690754
249,249,249,09-06,0.6559875266067402,-0.060119467209107415,-0.0020392575430889792
250,250,250,09-07,0.7581020029791549,0.4898882713285752,0.015769555607196336
251,251,251,09-08,0.6887834029761094,0.11652527931530395,0.2183822432863148
252,252,252,09-09,0.6833671827608565,0.08735250051018179,0.5153928819552481
253,253,253,09-10,1.0761498227587418,2.202953532181899,0.7970006571006332
254,254,254,09-11,0.7146332068747318,0.2557571756046396,0.5375498637579067
255,255,255,09-12,0.9696874455696242,1.629527183663203,0.7396003089458025
256,256,256,09-13,0.4690840850454246,-1.066816488727784,0.6798647370735686
257,257,257,09-14,0.9138596042604484,1.3288279504426788,0.3115372627411746
258,258,258,09-15,0.6168241192895196,-0.2710609307232219,0.26661893307528245
259,259,259,09-16,0.6658475901935227,-0.0070113138124652755,-0.061410132965319685
260,260,260,09-17,0.6645959649382696,-0.013752802390713423,0.06602057034044735
261,261,261,09-18,0.6042760453294069,-0.3386472125804098,-0.20365265239232205
262,262,262,09-19,0.6110368463985677,-0.3022322688931817,-0.18233401991118112
263,263,263,09-20,0.6134543044633988,-0.28921138595393764,-0.09923929657765528
264,264,264,09-21,0.640572232345989,-0.14314913583637628,0.18487915841360786
265,265,265,09-22,0.7584118241267401,0.4915570261886898,-0.009883397946096098
266,266,266,09-23,0.9810926819078388,1.6909579275568654,0.08650061255420609
267,267,267,09-24,0.38731826383526735,-1.5072225507386334,0.2837662475409706
268,268,268,09-25,0.7184048204101263,0.2760717941086313,0.09554670555945066
269,269,269,09-26,0.8332004165072231,0.8943824239666495,-0.056068932032610964
270,270,270,09-27,0.43090310997764825,-1.2724663877254958,-0.4518796038220208
271,271,271,09-28,0.5895180029189234,-0.41813679936368,-0.3784013520430856
272,272,272,09-29,0.5401752548201822,-0.6839061031795932,-0.6566128697675772
273,273,273,09-30,0.4691701289575506,-1.0663530400650227,-1.1050364046086825
274,274,274,10-01,0.4084881978322991,-1.3931973122383177,-0.8893231339909593
275,275,275,10-02,0.3336743417456826,-1.7961587850799825,-0.9110038616663536
276,276,276,10-03,0.6711991581853476,0.021813235980842945,-0.6124213551087067
277,277,277,10-04,0.5653665301433003,-0.5482211654160462,-0.05820766822149929
278,278,278,10-05,0.8727843529266257,1.1075889361662892,0.144298552129431
279,279,279,10-06,1.0865422472340485,2.258929081258221,0.3362244760181691
280,280,280,10-07,0.6340721146143206,-0.17815999013273595,0.37089418834533
281,281,281,10-08,0.5474722269059583,-0.6446032417475537,0.4365920478551862
282,282,282,10-09,0.7098198459198464,0.22983150994380816,0.12996931031163442
283,283,283,10-10,0.6385513461294244,-0.15403400835690886,-0.13771654488119045
284,284,284,10-11,0.5312187556346785,-0.7321474890950215,0.004167694257505475
285,285,285,10-12,0.7883507962410959,0.652813950101272,0.010178400763735405
286,286,286,10-13,0.7921255429933515,0.6731454446994396,0.0361635559882672
287,287,287,10-14,0.5541679161245552,-0.6085390027101741,0.1947032251730928
288,288,288,10-15,0.7387662806692605,0.3857424412909989,0.13897696332367904
289,289,289,10-16,0.8151582645641381,0.7972040067520444,0.2368865565949918
290,290,290,10-17,0.469141904889913,-1.0665050601915038,0.2867257502626369
291,291,291,10-18,0.8974182090958831,1.2402715097291488,0.4804260944539361
292,292,292,10-19,0.8476444327208958,0.97218060670531,0.5352593763910715
293,293,293,10-20,0.7699424352922979,0.5536630624376206,0.3713195837870756
294,294,294,10-21,0.7998483871248366,0.7147421329138114,0.4547241307819753
295,295,295,10-22,0.6325358223104932,-0.1864347488719306,0.28700973646459443
296,296,296,10-23,0.5620512701229164,-0.5660777782221056,0.19173266636200345
297,297,297,10-24,0.7105910098855287,0.23398514382486355,-0.03530862767115004
298,298,298,10-25,0.7415095465133918,0.4005181860897641,0.10172492755285124
299,299,299,10-26,0.5170274172227205,-0.8085847017613002,0.10075014955791127
300,300,300,10-27,0.9524983455529094,1.536943464257819,0.8838042583526123
301,301,301,10-28,0.6314499581937741,-0.19228341684157035,1.0165411814375271
302,302,302,10-29,1.4343425637338012,4.132246874546103,0.970991023045272
303,303,303,10-30,0.8584546901181613,1.0304066823343525,0.9988811955939548
304,304,304,10-31,0.6907684723757195,0.12721723573623345,0.7252215030393558
305,305,305,11-01,0.5480959658942397,-0.6412436664692036,0.6398137343014829
306,306,306,11-02,0.6476522761094596,-0.10501469106977472,-0.2015152901496585
307,307,307,11-03,0.5363090832018128,-0.7047300292688072,-0.02308496609293272
308,308,308,11-04,0.4971353198812855,-0.9157272721607476,0.12942348746290305
309,309,309,11-05,1.0572190110543238,2.100988626674707,0.17570454348601747
310,310,310,11-06,0.8606568552405789,1.042267957071248,0.2497421594679149
311,311,311,11-07,0.5996512310728106,-0.36355733033051696,0.33418767424257395
312,312,312,11-08,0.7301272508211334,0.33921100482160976,0.5289440329617547
313,313,313,11-09,0.630378045352852,-0.19805694062085244,-0.08896369437565907
314,314,314,11-10,0.7140861974491082,0.2528108801543375,0.3118472816878266
315,315,315,11-11,0.3688942519378031,-1.6064577373497757,0.4539287976411612
316,316,316,11-12,1.307144423439423,3.4471338134521616,0.32174944197417005
317,317,317,11-13,0.7579244180175752,0.4889317653894904,0.28093200430221504
318,318,318,11-14,0.5828846786304527,-0.4538651291803371,0.660492279388481
