,unnamed: 0,unnamed: 0,mth_day,prostitution,prostitution_norm,prostitution_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.6756067785483693,-0.2538537862081569,
2,2,2,01-03,1.1075717958179827,-1.9635884358349125,
3,3,3,01-04,1.3553591211813836,-1.2177706802527224,
4,4,4,01-05,1.6410320052653158,-0.3579207709577272,-1.328370193097953
5,5,5,01-06,1.1891949968838744,-1.7179098784949949,-1.416625034973798
6,6,6,01-07,0.9429193532566502,-2.459177606839204,-1.1628016404475991
7,7,7,01-08,1.4996782942361533,-0.7833828374632288,-1.08199720047464
8,8,8,01-09,1.6135470390210134,-0.44064806867771705,-1.038787872881511
9,9,9,01-10,1.5164358660713526,-0.7329440404149691,-0.6654032954135435
10,10,10,01-11,1.7271661068062056,-0.0986648053989524,-0.29918082617457903
11,11,11,01-12,1.9335052396228083,0.5223975863128093,-0.3189581071120544
12,12,12,01-13,1.6729525453723326,-0.2618427914054172,-0.506320345637025
13,13,13,01-14,1.460253975012494,-0.9020465230880804,-0.2044817275541367
14,14,14,01-15,1.240056430002501,-1.5648214998275414,-0.04269204116819842
15,15,15,01-16,2.1181253536681797,1.0780876680823608,-0.1715620852783726
16,16,16,01-17,2.049680018771155,0.8720733129166773,0.04293949254417074
17,17,17,01-18,1.6766138209576928,-0.2508226783482359,0.2466584786366291
18,18,18,01-19,2.1005431077347496,1.025166675529843,0.4532732444835648
19,19,19,01-20,1.8663503623278368,0.3202673934666697,0.15427425874869238
20,20,20,01-21,1.6519253067618094,-0.32513290474592776,-0.18937778932762492
21,21,21,01-22,1.5220964304593458,-0.7159062463268734,-0.2810395468760642
22,22,22,01-23,1.3646390321938249,-1.1898389755412269,-0.8856744571524403
23,23,23,01-24,1.4938939414345245,-0.8007932236388712,-1.2413257145243175
24,24,24,01-25,0.8952550910521332,-2.6026427861284134,-1.4301808598395471
25,25,25,01-26,1.1573899775685628,-1.813640150764593,-1.3926751946338471
26,26,26,01-27,1.2754587156527142,-1.458263776637308,-1.3551439838261174
27,27,27,01-28,1.5968607685116718,-0.4908722550926714,-1.1824458728128089
28,28,28,01-29,1.4394542932204646,-0.9646517106948488,-0.7490191927676023
29,29,29,01-30,1.8381528655725965,0.2353954424409791,-0.25073281187820984
30,30,30,01-31,1.7592541335986998,-0.002082705857173454,-0.18314812459413687
31,31,31,02-01,2.150681290317297,1.1760781345717617,-0.3605955618210499
32,32,32,02-02,1.41018301342358,-1.0527556529328699,0.06754409727620367
33,33,33,02-03,1.2431344684823242,-1.5555568784541494,-0.12425359448501995
34,34,34,02-04,2.2929141113785403,1.6041862438886727,-0.19470721193139265
35,35,35,02-05,1.4558205596170544,-0.9153907081263628,-0.4678345862008647
36,36,36,02-06,1.6188108687510925,-0.4248044105354097,-0.2363167653133748
37,37,37,02-07,1.60622521336913,-0.4626861110450705,0.18909240072310576
38,38,38,02-08,1.871694001991232,0.3363512723920694,-0.16785535623708867
39,39,39,02-09,2.091151282093606,0.996898117764734,-0.13259878551582388
40,40,40,02-10,1.5813692654992189,-0.5375002978724938,-0.04370423198615337
41,41,41,02-11,1.5261015200403285,-0.7038512837987739,-0.1836981737140861
42,42,42,02-12,1.7960145635703155,0.10856291064261336,-0.3388247696158731
43,43,43,02-13,1.327159255540604,-1.3026497614126664,-0.8598761045922677
44,44,44,02-14,1.5624623914252354,-0.5944083030186531,-0.7553094059598903
45,45,45,02-15,1.0524799790481625,-2.129409892093634,-0.6363236049474899
46,46,46,02-16,1.7898140421133544,0.08989989392177092,-0.6783009786943192
47,47,47,02-17,1.763289544876796,0.010063522275628971,-0.8464504071990321
48,48,48,02-18,1.7123362567293587,-0.1433013318383632,-0.799704835359042
49,49,49,02-19,0.991967741216494,-2.3115463324409435,-0.4916660906313264
50,50,50,02-20,1.6556456936364206,-0.3139348719787127,-0.2334508099061449
51,51,51,02-21,1.666528889198856,-0.28117742372734034,-0.38550152157057693
52,52,52,02-22,2.3045441350882045,1.6391915782728608,-0.2187366518441252
53,53,53,02-23,1.4601894466482068,-0.9022407477109641,0.4223155126845447
54,54,54,02-24,2.0447677714645134,0.8572878865203477,0.5893681808726124
55,55,55,02-25,2.269850441740158,1.5347666547310748,0.4939601405996989
56,56,56,02-26,1.9886509100072398,0.6883811371496943,0.21077050575681835
57,57,57,02-27,1.476341115251844,-0.853625665364822,0.3701933583935425
58,58,58,02-28,1.7400298016885145,-0.05994623078442219,0.4102412900992559
59,59,59,02-29,1.7779852778227103,0.054296368109380974,0.200004757594319
60,60,60,03-01,2.1245999005021114,1.097575476754628,0.02155748331229414
61,61,61,03-02,1.8507618826933776,0.2733474597014533,0.19242101332875794
62,62,62,03-03,1.6329315202626282,-0.3823025085424548,0.2223754441153842
63,63,63,03-04,1.8169429589707256,0.1715555147339608,0.13280829837312988
64,64,64,03-05,1.7997413993155298,0.11978035393533527,0.12309603236051553
65,65,65,03-06,1.5994408279128314,-0.483106506344145,-0.1589273892153162
66,66,66,03-07,2.1052393282941866,1.0393018806789418,-0.2447446381610572
67,67,67,03-08,1.2885722957676014,-1.418793069753537,-0.4123983104437062
68,68,68,03-09,1.4618621691203146,-0.8972060022169007,-0.5265609881793103
69,69,69,03-10,1.4827396923039935,-0.8343665189619329,-0.25829413217025515
