,unnamed: 0,unnamed: 0,mth_day,robbery,robbery_norm,robbery_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.184254991442395,-0.6962735735127178,
2,2,2,01-03,2.314679345865976,-0.3499812063861517,
3,3,3,01-04,2.243424190269588,-0.5391722252759786,
4,4,4,01-05,2.061623653717798,-1.021874542842646,-0.8963170717307275
5,5,5,01-06,1.8991173711498488,-1.4533482926043628,-1.1232211338151552
6,6,6,01-07,1.950375197969015,-1.3172525897625085,-1.3228593427358766
7,7,7,01-08,1.6715007070957228,-2.057697946019284,-1.4179627409773785
8,8,8,01-09,1.8635400141015792,-1.54781045991048,-1.4821192370206493
9,9,9,01-10,2.0285110042460013,-1.1097926147249906,-1.4874076333245283
10,10,10,01-11,1.9166437978586424,-1.4068135191022688,-1.3872659214099494
11,11,11,01-12,1.887166735109106,-1.4850786704276393,-1.1487210256261091
12,12,12,01-13,2.176673887178486,-0.7164023182750361,-0.9934085812255254
13,13,13,01-14,2.210560767098893,-0.626428571316241,-0.6630285060103178
14,14,14,01-15,2.214512669889124,-0.6159357935069787,-0.6074593597337631
15,15,15,01-16,2.7750987800361977,0.8724878365662552,-0.3811507254750091
16,16,16,01-17,2.042218093748455,-1.073398641442941,-0.3176983833570632
17,17,17,01-18,2.3985754808795683,-0.1272268648751152,-0.2495368901301525
18,18,18,01-19,2.320062506905803,-0.3356882655673601,-0.3230730682735541
19,19,19,01-20,2.3645910535490344,-0.2174596119547774,-0.5548359458525396
20,20,20,01-21,2.0483367537282247,-1.0571528623673885,-0.4557580631530795
21,21,21,01-22,2.2513646197067083,-0.5180894289076574,-0.4776501688611731
22,22,22,01-23,2.2661127581782274,-0.4789313452461802,-0.7016809604678965
23,23,23,01-24,2.34910403954848,-0.258579499123677,-0.5994719104273919
24,24,24,01-25,1.813801194672524,-1.679873015207701,-0.6925108752083747
25,25,25,01-26,2.59556148142869,0.3957946882882504,-0.7423049702564549
26,26,26,01-27,1.838088742456936,-1.6153866510532853,-0.6228779513554064
27,27,27,01-28,2.1388406951170795,-0.8168539991961393,-0.5744402364517497
28,28,28,01-29,2.535992085351658,0.23763076816011136,-0.5058988826214564
29,29,29,01-30,2.4585628373005064,0.03204679029826266,-0.7260148924528576
30,30,30,01-31,1.9686898842294656,-1.2686248922259415,-0.6534552335809675
31,31,31,02-01,2.0981467324042784,-0.9249013707001568,-0.6621790676377053
32,32,32,02-02,2.0020579354961114,-1.1800286978219443,-0.7195399480303869
33,33,33,02-03,2.119126710063532,-0.8691970035365661,-0.4833716553303556
34,34,34,02-04,2.4063688564634043,-0.1065345141959782,-0.3109198630698013
35,35,35,02-05,2.9922522864727377,1.4490565464984508,-0.10873897857908564
