,unnamed: 0,unnamed: 0,mth_day,romance,romance_norm,romance_ravg
0,0,0,01-01,,,
1,1,1,01-02,11.185020743836095,-1.2989230046223743,
2,2,2,01-03,11.05712423475151,-1.4017859223771505,
3,3,3,01-04,10.267573817636094,-2.0367951200502468,
4,4,4,01-05,9.293297235077322,-2.8203734420814515,-2.133151781668854
5,5,5,01-06,9.716238603199582,-2.4802157358575827,-2.3131132128399505
6,6,6,01-07,9.367347259391114,-2.76081746502432,-2.620222652621164
7,7,7,01-08,9.842470523463003,-2.3786915916489506,-2.3593714443846223
8,8,8,01-09,8.76602306171779,-3.2444425610644347,-1.9640873597183868
9,9,9,01-10,12.213578830063465,-0.4716878706309981,-1.6102862392753712
10,10,10,01-11,12.242199850071994,-0.4486689340840399,-1.207665277808238
11,11,11,01-12,12.355669558643706,-0.35740901319948576,-0.9278158702373572
12,12,12,01-13,12.370984522258926,-0.3450916962215201,-0.5421575560962764
13,13,13,01-14,11.930206108586026,-0.6995951462236671,-0.5296037289940758
14,14,14,01-15,11.643115399056251,-0.9304926762179494,-0.6507317160445819
15,15,15,01-16,12.3072330271484,-0.3963649080177951,-0.6932784469193586
16,16,16,01-17,11.338559527533127,-1.1754368563870767,-0.6863021057287582
17,17,17,01-18,12.038261975583428,-0.6126893984481456,-0.7142781291084951
18,18,18,01-19,12.423029498462375,-0.3032336490779181,-0.9003540035302101
19,19,19,01-20,11.72149907558894,-0.8674512865020887,-0.9851395343648436
20,20,20,01-21,10.254950142838213,-2.04694792274824,-1.1142130228381604
21,21,21,01-22,11.674715090578616,-0.9050780930255954,-1.3980211399595308
22,22,22,01-23,10.375644089116637,-1.9498777872269784,-1.6518718538535466
23,23,23,01-24,9.920993582542524,-2.3155381011763674,-1.9404798981041127
24,24,24,01-25,10.529249649844378,-1.826337932442012,-2.082151637841968
25,25,25,01-26,9.568422214127096,-2.599099552005489,-2.2850770604366217
26,26,26,01-27,9.198049093719169,-2.896978361175369,-2.033451267338008
27,27,27,01-28,10.160848652359762,-2.1226306285935177,-1.7540600432232445
28,28,28,01-29,12.25282555948914,-0.4401230286352911,-1.6396116209284888
29,29,29,01-30,12.005311022477553,-0.6391907564877876,-1.313028991642315
30,30,30,01-31,11.383059010957384,-1.1396473986734783,-0.9097579795551646
31,31,31,02-01,12.004797486678259,-0.6396037762884454,-0.5710689805083699
32,32,32,02-02,12.206535871271756,-0.47735228865246704,-0.7089057738382799
33,33,33,02-03,12.687539995883858,-0.09049663431274854,-0.7454188704453366
34,34,34,02-04,11.224534019149845,-1.267143788614752,-0.8407854448903559
35,35,35,02-05,11.732915623211687,-0.8582693361301269,-0.7118341937031158
36,36,36,02-06,10.671604258101699,-1.7118468453435949,-0.8568060083126943
37,37,37,02-07,12.966801009167586,0.1341037308349959,-0.9457956086168876
38,38,38,02-08,11.125015567807775,-1.3471831763099382,-0.7659439317434716
39,39,39,02-09,12.023658814667199,-0.6244342361379078,-0.7193857846326388
40,40,40,02-10,12.566265449321175,-0.1880337273742569,-0.5848178038546344
41,41,41,02-11,12.080249217177071,-0.5789204534651304,-0.4888979776349916
42,42,42,02-12,11.675509767593384,-0.9044389606755692,-0.054238587458804534
43,43,43,02-13,13.682383136911929,0.7096226881528528,-0.12529478010241554
44,44,44,02-14,14.367666263964267,1.2607731647471845,-0.302393395997376
45,45,45,02-15,11.493564635754742,-1.0507713919995738,-0.3038744155662039
46,46,46,02-16,11.245072434516251,-1.2506254227440194,-0.25890739863154594
47,47,47,02-17,12.069200498929124,-0.5878065708780978,-0.4547438949880802
48,48,48,02-18,12.010973194963825,-0.6346368590676216,-0.6675861486498724
49,49,49,02-19,12.221401583088927,-0.4653962899863522,-0.569664862368077
50,50,50,02-20,12.779818175077539,-0.016280357223569474,-0.30278208296021564
51,51,51,02-21,12.224078077559133,-0.4632436743088009,-0.2481412227581896
52,52,52,02-22,13.236074239603894,0.35067125370314844,-0.19575975720856395
53,53,53,02-23,12.47683283674856,-0.259961409665941,-0.05614495805163423
54,54,54,02-24,12.401749972295933,-0.3203480657698677,0.07792152339246906
55,55,55,02-25,13.262957421780136,0.37229250495522603,0.24128543027029736
56,56,56,02-26,13.779982393800061,0.7881185314410503,0.051543080586933236
57,57,57,02-27,13.442807267211535,0.516939766958169,0.14776204221932684
58,58,58,02-28,11.820556304878652,-0.7877828443970363,0.2331729341608393
59,59,59,02-29,13.194646577743013,0.31735236012842044,0.024600130373398768
60,60,60,03-01,13.03893323457684,0.19211728587920726,-0.3141224429022592
61,61,61,03-02,11.706960329145119,-0.8791443177694175,-0.5811821313915182
62,62,62,03-03,11.253040579449713,-1.244216908212897,-0.5646922696182479
63,63,63,03-04,11.450485683076408,-1.0854183639773856,-0.7230028825778009
64,64,64,03-05,11.943574150500126,-0.6888436737574148,-0.5974089497794178
65,65,65,03-06,12.013616026179008,-0.6325113176288979,-0.4674547174515864
66,66,66,03-07,13.975890454013946,0.9456808826695059,-0.111586685022584
67,67,67,03-08,12.676446302416085,-0.09941892380242898,0.08142918246671564
68,68,68,03-09,13.90789113410584,0.8909912863611168,0.13054845285022665
69,69,69,03-10,12.8904247508364,0.07267684095841219,0.06475935116062494
70,70,70,03-11,12.310014264077866,-0.3941280514563488,-0.247329407345257
71,71,71,03-12,11.522815456319414,-1.0272459277665082,-0.36533169980729663
72,72,72,03-13,11.64764251343338,-0.9268516683657856,-0.6161899552692238
73,73,73,03-14,11.796124320541972,-0.8074326785746664,-0.7644806769036165
74,74,74,03-15,12.036435656333936,-0.6141582464104465,-0.4652487718757074
75,75,75,03-16,11.784144701194773,-0.8170674888479441,-0.674561169106739
76,76,76,03-17,14.542347366918854,1.4012633787111062,-0.4954972226897464
77,77,77,03-18,9.961300840656168,-2.2831203111526985,-0.5067205821042867
78,78,78,03-19,12.98349730831134,0.14753201013617032,-0.4172288106959848
79,79,79,03-20,11.712395692928471,-0.8747728350619082,-0.3064137036633845
80,80,80,03-21,12.704063139867149,-0.07720761796063451,-0.4500769977217745
81,81,81,03-22,12.610848764388402,-0.15217684665234216,0.09455610336426457
82,82,82,03-23,13.470588902660804,0.5392836143607659,0.3181540211218338
83,83,83,03-24,14.02437860752703,0.9846782953635359,0.5705968538112106
84,84,84,03-25,14.65158491912271,1.4891195166815856,0.5918185127972123
85,85,85,03-26,13.595672450916181,0.6398841610743525,0.5907363530844191
86,86,86,03-27,12.862381190367932,0.05012233595537584,0.6266015617241093
87,87,87,03-28,12.602775624763785,-0.1586698049291021,0.3870510920664015
88,88,88,03-29,13.738150921086651,0.7544748661989074,0.23185848647180385
89,89,89,03-30,12.237281596036453,-0.4526245225827107,0.1813704971117596
90,90,90,03-31,13.493815359915265,0.5579638831139998,0.07764591302271273
91,91,91,04-01,13.219021405186956,0.3369562249140868,0.08947059066129674
92,92,92,04-02,12.088573923329356,-0.5722251685789052,-0.08590191560736242
93,93,93,04-03,12.690990213113155,-0.08772173909759809,0.029193354009884362
94,94,94,04-04,12.429835048034265,-0.2977601714130475,-0.0822237956871017
95,95,95,04-05,13.0959165745593,0.2379470951207699,-0.02569925334684367
96,96,96,04-06,12.662619931508074,-0.11053901506791657,0.16504053641794358
97,97,97,04-07,13.640706408921185,0.6761034789556349,0.2792676976773036
98,98,98,04-08,13.511532971366535,0.5722135700098183,0.2594547564844188
99,99,99,04-09,13.543148920250491,0.597641228458562,0.2051356538237296
100,100,100,04-10,12.282026329290204,-0.4166378185703565,0.04245664061090328
101,101,101,04-11,12.690684615838974,-0.08796752084336552,-0.05760281287845759
102,102,102,04-12,11.449000193002489,-1.0866130943448742,-0.15827177895957198
103,103,103,04-13,12.894241788928053,0.07574675801946976,-0.22135834972484045
104,104,104,04-14,12.760521258926687,-0.031800226476868025,0.010871690692182134
105,105,105,04-15,13.072509800899589,0.2191218038669513,0.07624496586136396
106,106,106,04-16,14.014511395174706,0.9767424239317788,0.39234262663136815
107,107,107,04-17,13.178383032181596,0.3042721301717255,0.4541149903625684
108,108,108,04-18,13.80715538972748,0.8099728702751509,0.59294755552985
109,109,109,04-19,13.355076646711789,0.4463809404066714,0.5055435733886845
110,110,110,04-20,13.796241467125563,0.8011951645268218,0.39794805095023
111,111,111,04-21,12.420457665497615,-0.30530208898004224,0.26682763180233665
112,112,112,04-22,13.211826111884374,0.3311692893010521,0.1838189389109916
113,113,113,04-23,12.20019705934916,-0.4824503847156347,0.11532993533217935
114,114,114,04-24,13.18789303885073,0.31192071292708035,-0.020066645827891656
115,115,115,04-25,12.844134239499835,0.03544691893379809,0.04630869560643088
116,116,116,04-26,12.786154424078019,-0.011184322433604248,0.16484312735454218
117,117,117,04-27,12.915631707458124,0.09294995962589298,0.3830467513264015
118,118,118,04-28,14.096117965031107,1.0423758797897198,0.5786515007703203
119,119,119,04-29,13.828042101163193,0.8267713591155208,0.5783681158180759
120,120,120,04-30,14.647145711843107,1.4855492095905936,0.8926167412162099
121,121,121,05-01,12.842020128006,0.033746609220331535,1.1149126884697065
122,122,122,05-02,15.130515427070351,1.8743074299552007,0.9818068662594572
123,123,123,05-03,14.57400634379609,1.4267256431468707,0.8588310472203498
124,124,124,05-04,13.103120466742633,0.2437409465282255,0.5258737193167188
125,125,125,05-05,12.910616562384572,0.08891644488087633,0.5533053711367504
126,126,126,05-06,12.16321384353704,-0.5121947578311923,0.13082985752649515
127,127,127,05-07,13.04666603439006,0.1983365201405213,0.03891254980039793
128,128,128,05-08,11.978759018996277,-0.6605456517063302,0.11888645519149305
129,129,129,05-09,13.888283847921688,0.8752217967902874,0.05800586771791062
130,130,130,05-10,13.699742662999961,0.7235843788747961,0.2950947207447941
131,131,131,05-11,12.45643454350858,-0.27636707996061805,0.3880340288708706
132,132,132,05-12,13.931946675943903,0.9103383603301084,0.4274687159968278
133,133,133,05-13,13.740012868731231,0.7559723688969802,0.23717513846401825
134,134,134,05-14,12.27295009953377,-0.4239375289505867,0.1355570136082142
135,135,135,05-15,12.468653637216349,-0.2665396684065697,0.3522728390937327
136,136,136,05-16,12.941650025976234,0.11387562973997176,0.4857787319539399
137,137,137,05-17,14.073180294920723,1.023927872952493,0.3654379185336867
138,138,138,05-18,14.927928785633664,1.7113737174913513,0.5247532654300858
139,139,139,05-19,12.842245027445099,0.033927488375461334,0.7825445875350452
140,140,140,05-20,13.461476178109038,0.5319545524278078,0.6755380078659226
141,141,141,05-21,14.391831253942652,1.2802082642231862,1.030515725873666
142,142,142,05-22,12.143358379920327,-0.5281638482747644,0.8090047236825276
143,143,143,05-23,16.72138891627657,3.1537941809989545,0.9469697999850806
144,144,144,05-24,13.27541000496206,0.3823077043445212,0.9387543495040932
145,145,145,05-25,13.871493585808047,0.8617179461907783,0.8448103243328341
146,146,146,05-26,13.400187185340204,0.4826618495418829,1.0271625936334543
147,147,147,05-27,13.690989018605585,0.7165441131956318,1.030004582147863
148,148,148,05-28,13.503744756834193,0.5659497675289582,1.1472345365812064
149,149,149,05-29,16.74259074981105,3.1708461120854032,1.172893502351976
150,150,150,05-30,14.149970182299054,1.0856874309445823,1.1344190373562464
151,151,151,05-31,14.062914880503907,1.0156717408153968,0.9077251278189684
152,152,152,06-01,13.113159564351553,0.2518150595675054,0.8293246195759286
153,153,153,06-02,11.99980465634546,-0.6436193440280346,0.579757372055418
154,154,154,06-03,12.918860435043127,0.0955467180707192,0.7417080499911036
155,155,155,06-04,14.880766463483742,1.6734426269623397,0.9359788037583914
156,156,156,06-05,15.35815638607185,2.057391498558696,1.2145470651786436
157,157,157,06-06,15.512215664483278,2.1812962634191235,1.5721086771976325
158,158,158,06-07,15.191337529068555,1.9232246280890184,1.7988458014469155
159,159,159,06-08,14.667289671824445,1.5017503280859008,1.872590121986268
160,160,160,06-09,14.610367188166391,1.4559694635664189,1.9003339552912253
161,161,161,06-10,15.430914643274797,2.115908550198454,1.7741782723706316
162,162,162,06-11,15.565131232155132,2.223854498388442,1.697939390633653
