,unnamed: 0,unnamed: 0,mth_day,smart,smart_norm,smart_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.6674967600776425,-0.7313160718620518,
2,2,2,01-03,5.527430383264538,-0.9103660406776172,
3,3,3,01-04,4.988890524016917,-1.5987935362562928,
4,4,4,01-05,4.8471798638247785,-1.7799454291341357,-1.5002545957400446
5,5,5,01-06,5.007823564902896,-1.5745910084451968,-1.6639369987849009
6,6,6,01-07,4.3570295524085445,-2.4065154880649717,-1.9340237707618444
7,7,7,01-08,4.8992285064426575,-1.7134104901311924,-1.9034089707216264
8,8,8,01-09,4.259737040689569,-2.530886672539277,-1.8521426771402467
9,9,9,01-10,5.132585744301758,-1.415104736014983,-1.6081673598526374
10,10,10,01-11,5.087806009992192,-1.4723476676458602,-1.0989032373260572
11,11,11,01-12,6.152958823524599,-0.11073910471954024,-0.7154303954195215
12,12,12,01-13,6.747338166983497,0.6490692470945095,-0.5012208536126391
13,13,13,01-14,6.699116613457086,0.5874265613080221,-0.13215347659760932
14,14,14,01-15,5.265162104927077,-1.2456294216979829,-0.23371933631330075
15,15,15,01-16,6.864859610877867,0.7992995260751959,0.0018403182617609266
16,16,16,01-17,4.611091199962632,-2.081742825940009,0.17400517085662706
17,17,17,01-18,7.2585938892417685,1.3026188227308295,-0.07093142754763647
18,18,18,01-19,7.555420087702457,1.682058362663706,0.06566090816808401
19,19,19,01-20,5.54946943571026,-0.882193029117559,-0.12953356598533708
20,20,20,01-21,5.9062790073437785,-0.42607540740365996,0.1880037362615337
21,21,21,01-22,5.948684658730126,-0.3718673188453306,-0.22871312199847635
22,22,22,01-23,6.101500823251913,-0.1765190124587841,-0.7825527953010255
23,23,23,01-24,5.302669935290892,-1.1976823268292307,-0.9131698960628452
24,24,24,01-25,4.955889345932278,-1.6409796771515894,-1.2593431551311636
25,25,25,01-26,4.9363982073409645,-1.6658956336884765,-1.4676012374201417
26,26,26,01-27,4.281462165385114,-2.50311496181357,-1.5290580977735626
27,27,27,01-28,4.971193674915098,-1.6214158125791984,-1.4142204150081727
28,28,28,01-29,5.8130437020262855,-0.5452601745793095,-1.3846687934378272
29,29,29,01-30,5.841678065355286,-0.5086562302368908,-1.2978963176149616
30,30,30,01-31,5.094594376366792,-1.4636699477295183,-0.8932841998755056
31,31,31,02-01,5.343678020099749,-1.1452607787512832,-0.6148333935969319
32,32,32,02-02,6.180570678656747,-0.07544225537683506,-0.7982795853349224
33,33,33,02-03,6.278144884595645,0.049289025092243734,-0.8466667645199752
34,34,34,02-04,4.952011100226616,-1.6459373250072522,-0.4522028475525474
35,35,35,02-05,5.614565480500112,-0.798979305347208,-0.12745156961441065
36,36,36,02-06,6.946070765844843,0.9031135540750488,-0.05857030207500464
37,37,37,02-07,6.867947535491022,0.8032468888775377,-0.3660559332721241
38,38,38,02-08,6.5038753842099855,0.33784534985960113,-0.20066517982420173
39,39,39,02-09,4.8349143081669474,-1.7956247620904733,0.12181599856064652
40,40,40,02-10,5.7282977563064925,-0.6535928043197177,-0.2051401576157177
41,41,41,02-11,7.1281799383718285,1.1359077649618816,-0.5588365792783443
42,42,42,02-12,5.411452319095955,-1.0586233829831366,-0.5083528364594503
43,43,43,02-13,5.207819585675779,-1.3189316410982224,-0.2753037928626664
44,44,44,02-14,6.740828509353197,0.6407478067729653,-0.34481320258322296
45,45,45,02-15,5.928765439411267,-0.39733050050976987,-0.6520040506674127
46,46,46,02-16,5.4020447698900105,-1.0706492626430577,-0.5758781168567405
47,47,47,02-17,5.686332971318108,-0.7072373235432571,-0.5282806979796216
48,48,48,02-18,5.768760967656242,-0.6018677801191026,-0.6101666940653633
49,49,49,02-19,5.431225310408669,-1.0333471278355093,-0.5626152061371125
50,50,50,02-20,6.356484132439853,0.14943183025851525,-0.2044817323311316
51,51,51,02-21,6.1519555802498695,-0.11202157294026477,-0.0916640405493096
52,52,52,02-22,7.082998698784556,1.078151580192828,-0.01359723184557667
53,53,53,02-23,6.2158599664746825,-0.030331172852324905,0.4296163767848488
54,54,54,02-24,6.135179407720549,-0.13346692789670508,0.4726065161709716
55,55,55,02-25,7.511515792192731,1.6259345239470435,0.3973090321945909
56,56,56,02-26,6.5582648901469005,0.4073726665752518,0.09093532869620652
57,57,57,02-27,5.798535386988232,-0.5638064767985489,-0.1376990308658436
58,58,58,02-28,5.644987124126265,-0.7600906407974783,-0.26193367288141184
59,59,59,02-29,5.142729826189823,-1.4021373302246256,-0.6473863029954667
60,60,60,03-01,5.552065220203935,-0.8788747799901145,-0.9688377917478292
61,61,61,03-02,5.702335248114427,-0.686781256737286,-0.9046318111078816
62,62,62,03-03,5.0494834371738175,-1.5213362659389231,-0.8520292240388313
63,63,63,03-04,6.09989592240056,-0.1785705929588633,-0.8210283677896152
64,64,64,03-05,5.891885367018915,-0.44447511838317694,-0.7533590177733487
65,65,65,03-06,5.288237060008034,-1.2161321927293294,-0.8877738180968503
66,66,66,03-07,5.869681606538173,-0.4728586798925162,-0.7457754100258303
67,67,67,03-08,5.071438939248945,-1.493270058678296,-0.9488419077693521
68,68,68,03-09,5.715974562415755,-0.6693458175128033,-0.934118256226946
69,69,69,03-10,5.14677243025318,-1.3969695794199943,-0.9114668193858732
70,70,70,03-11,5.960993064897193,-0.3561332091287404,-1.0572488739214367
71,71,71,03-12,5.394555023946072,-1.0802235716828912,-0.9236474202326248
72,72,72,03-13,5.185431361148845,-1.347551007105898,-0.945131684266292
73,73,73,03-14,5.6985176819802,-0.6916613365454244,-0.8777033100733619
74,74,74,03-15,5.615134901568063,-0.7982514017148058,-0.717408944969125
75,75,75,03-16,5.46325775990986,-0.9923993342624132,-0.8872602828261366
76,76,76,03-17,6.713359047161106,0.6056329814966802,-0.3618256247968123
77,77,77,03-18,4.597331936518574,-2.09933159882496,-0.04220769046898648
78,78,78,03-19,7.651638843530811,1.805056941070048,0.10301842067056448
79,79,79,03-20,7.198693068390969,1.2260462694215304,0.3947653795127084
80,80,80,03-21,6.2967757420731205,0.07310526512249997,0.3787751715826671
81,81,81,03-22,6.832616483898947,0.7580824187904499,0.8366936436246585
82,82,82,03-23,6.6383065742431295,0.5096917339164331,0.5226307995327973
83,83,83,03-24,6.746641931231274,0.6481792334269879,0.4809551660258826
84,84,84,03-25,6.177537118032753,-0.07932012348111933,0.3539140596601487
85,85,85,03-26,7.0030821439550985,0.9759924683800424,0.4137988408327979
86,86,86,03-27,5.700488987285486,-0.6891413730719035,0.4543581749203168
87,87,87,03-28,7.1136948123874175,1.1173911058263444,0.3065256396523193
88,88,88,03-29,6.828677977572764,0.7530477384415465,0.16298962737893896
89,89,89,03-30,6.0527674426605484,-0.2388159781809973,-0.07988088102676162
90,90,90,03-31,5.503829013608239,-0.9405361971214012,-0.0519184410817304
91,91,91,04-01,5.863132473854308,-0.4812305820541611,-0.4500221227153411
92,92,92,04-02,5.8317349520582225,-0.5213667334017162,-0.7992907791157341
93,93,93,04-03,5.245134633865993,-1.2712309839753204,-0.7900701625176808
94,94,94,04-04,5.1893324174478135,-1.342564199960811,-0.5582050886534425
95,95,95,04-05,6.096045809054539,-0.18349227859267786,-0.5630565667042348
96,96,96,04-06,6.592123002839375,0.4506542460640288,-0.49714044532626295
97,97,97,04-07,5.840361323747174,-0.5103394503589144,-0.4620043877040371
98,98,98,04-08,6.1411222931248615,-0.1258700051338856,-0.030461036717458773
99,99,99,04-09,5.410051064263512,-1.060414638241965,0.04254629946355213
100,100,100,04-10,7.214846770016253,1.2466959059586586,-0.09402748568320213
101,101,101,04-11,6.4387168453232135,0.2545517384933876,-0.16017299408124505
102,102,102,04-12,5.951093170339528,-0.3687884648164968,-0.036415854504814285
103,103,103,04-13,5.529897319813673,-0.907212500747172,-0.0031527260280856573
104,104,104,04-14,6.721995250318619,0.6166728323246989,-0.1882662083252641
105,105,105,04-15,5.566176616857272,-0.8608358673815932,-0.25989951113582194
106,106,106,04-16,6.34598848639385,0.13601501217558776,-0.3846642135212995
107,107,107,04-17,6.1024950436595855,-0.1752480783699593,-0.3676510930811608
108,108,108,04-18,5.3654910638582844,-1.1173766791293624,-0.40946732402596303
109,109,109,04-19,5.609750988175602,-0.8051337781063398,-0.4315208566727556
110,110,110,04-20,6.5257244104241385,0.3657754466558855,-0.4436005995849969
111,111,111,04-21,5.4626650071921175,-0.9931570632623484,-0.5826596919217383
112,112,112,04-22,6.289290375791182,0.06353655470213898,-0.3254061435146681
113,113,113,04-23,5.449800043865767,-1.0096026323904068,-0.150694379138573
114,114,114,04-24,6.5729497197648765,0.4261446113130589,-0.30804833062229203
