,unnamed: 0,unnamed: 0,mth_day,so bad it's good,so bad it's good_norm,so bad it's good_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.7850027996943426,-1.0954597259874457,
2,2,2,01-03,1.1050716714419149,0.12733353763801564,
3,3,3,01-04,0.8815292116069876,-0.7266895747251054,
4,4,4,01-05,0.6161645398132303,-1.7404905460657345,-0.9360178934035244
5,5,5,01-06,0.7487652590677722,-1.233901869163027,-0.9910203638982364
6,6,6,01-07,0.8238888543341659,-0.9468991821178488,-1.173916170208614
7,7,7,01-08,0.6986206816458224,-1.4254745489557186,-0.9903766438402392
8,8,8,01-09,0.8178313531583713,-0.9700413002242504,-1.022290766466136
9,9,9,01-10,1.169780500880379,0.3745475834851437,-1.0321361669750098
10,10,10,01-11,0.5660429819397491,-1.9319752818211144,-0.8258332372890055
11,11,11,01-12,0.7333029254426987,-1.2929742722162705,-0.7035578558559924
12,12,12,01-13,1.1478903740041826,0.2909183959981769,-0.5622797543281669
13,13,13,01-14,0.8906558091295927,-0.6918222603576406,-0.4692988890773215
14,14,14,01-15,1.0397105075687303,-0.12237269105729699,0.00145592741329581
15,15,15,01-16,1.3158081975658262,0.9324327749902166,0.18250494745755644
16,16,16,01-17,1.3053697387971783,0.8925536171225893,-0.030178739614551787
17,17,17,01-18,1.017642841111319,-0.20668015195070635,-0.1516439570608787
18,18,18,01-19,0.8138677892291287,-0.9851837264344724,-0.30012181585153336
19,19,19,01-20,0.6998930550593639,-1.4206135650356018,-0.37404266671117536
20,20,20,01-21,0.8065240377559079,-1.0132398438012251,-0.8066964248838349
21,21,21,01-22,1.1997145092683426,0.4889076698323645,-0.7002943668884849
22,22,22,01-23,0.6258812053466739,-1.703368931913368,-0.7870663708433869
23,23,23,01-24,1.1847487011152518,0.4317321960213932,-0.8241706278095071
24,24,24,01-25,0.6775911925322653,-1.5058157501638851,-0.6953303451908587
25,25,25,01-26,0.6416203215526363,-1.6432391068323224,-1.0544907597537885
26,26,26,01-27,1.008869430653101,-0.2401981480893343,-0.7365565288123674
27,27,27,01-28,0.6356482582421608,-1.666054817545214,-0.7653037848158158
28,28,28,01-29,1.1252011817373282,0.20423645373515864,-0.6779485631295424
29,29,29,01-30,1.1396007497718723,0.2592486600007025,-0.5714740401054553
30,30,30,01-31,0.8147837405030657,-0.9816844200462442,-0.7859434307314458
