,unnamed: 0,unnamed: 0,mth_day,social commentary,social commentary_norm,social commentary_ravg
0,0,0,01-01,,,
1,1,1,01-02,6.516254154839888,-1.4956778210773232,
2,2,2,01-03,6.842285596622246,-1.132371483415154,
3,3,3,01-04,5.530048463965532,-2.594635565074084,
4,4,4,01-05,5.583759441801324,-2.53478385708206,-2.0646167142833742
5,5,5,01-06,5.663133908162192,-2.4463345758722235,-2.0660224892903383
6,6,6,01-07,5.8986456453758045,-2.1838969831793995,-2.311042244356852
7,7,7,01-08,6.50868489212967,-1.5041124711191054,-2.188734796522217
8,8,8,01-09,5.522999874437373,-2.60249001381424,-1.8583765100504368
9,9,9,01-10,6.1886013614708855,-1.8607908780662727,-1.499127363441305
10,10,10,01-11,7.3625424237260475,-0.5526341382513794,-0.8764007926314156
11,11,11,01-12,7.597476996946471,-0.29083969621743005,-0.6593262655138167
12,12,12,01-13,9.251658031955047,1.5524624416799362,-0.38364212584860996
13,13,13,01-14,7.67750217463221,-0.2016653084135122,0.14435971230043132
14,14,14,01-15,7.007395078384883,-0.9483851758229994,0.0193761511206255
15,15,15,01-16,9.031577374438902,1.3072201508279742,0.15193143885273586
16,16,16,01-17,6.689580246747396,-1.3025355053302143,-0.07456350862682899
17,17,17,01-18,8.311208420184599,0.5044920301752318,-0.12919254403867028
18,18,18,01-19,8.03211738603576,0.19349275680254727,0.02186437429156544
19,19,19,01-20,7.3833572946979,-0.5294395208845598,-0.1894496498817367
20,20,20,01-21,7.8207467835819875,-0.042043665841585184,0.06233538168499795
21,21,21,01-22,7.893776975799263,0.03933600578816139,-0.2153427256855137
22,22,22,01-23,8.045292961078069,0.2081746840701936,-0.5507472169400535
23,23,23,01-24,6.816076885513907,-1.161576614047838,-0.9252888109235792
24,24,24,01-25,6.226163591213486,-1.8189341907246912,-1.2751210362130965
25,25,25,01-26,5.3666734678256915,-2.7766890847857137,-1.585181586383386
26,26,26,01-27,5.937108217951503,-2.141037017578688,-1.74194835527466
27,27,27,01-28,6.22428523730085,-1.8210272952335769,-1.645529841250231
28,28,28,01-29,7.201197104990183,-0.7324259292774485,-1.5953091787591245
29,29,29,01-30,7.335233264852299,-0.5830655299012654,-1.2530179786946862
30,30,30,01-31,6.4965720036502566,-1.5176102157780509,-1.032355844911937
31,31,31,02-01,7.209708095592546,-0.7229418843990854,-0.8424118872636592
32,32,32,02-02,7.125242629592727,-0.8170642148821924,-0.8827652570915401
33,33,33,02-03,7.2470205317371486,-0.6813635493439095,-0.8582447100875984
34,34,34,02-04,6.983918197656704,-0.9745461482447336,-0.6333634666138014
35,35,35,02-05,7.467261833543347,-0.4359422478776155,-0.3984796120595432
36,36,36,02-06,7.707423812809978,-0.16832275493526844,-0.1383797255934665
37,37,37,02-07,8.474418019088551,0.6863612429264633,-0.048955757962783286
38,38,38,02-08,8.525725894558239,0.743535103914268,0.06215163618339761
39,39,39,02-09,7.728515436849009,-0.1448197435598102,0.19408548291748828
40,40,40,02-10,7.582165464234992,-0.30790178336764834,0.18487280066157105
41,41,41,02-11,8.177647166440128,0.3556608325269288,-0.15662026326699913
42,42,42,02-12,7.657818995598572,-0.2235988484707722,-0.2684037859997292
43,43,43,02-13,6.63568087993899,-1.3625971406449575,-0.544297274519837
44,44,44,02-14,7.9238380774849375,0.07283396751788765,-0.789125191489464
45,45,45,02-15,6.242993013771138,-1.8001806746804574,-0.8908575311594401
46,46,46,02-16,6.263912676158332,-1.7768692851854098,-0.9949080963450416
47,47,47,02-17,7.629878994952784,-0.2547332054929285,-0.9641333881799364
48,48,48,02-18,7.097568557843603,-0.8479022395843806,-1.1184255899088604
49,49,49,02-19,6.8013843885218295,-1.1779488916543268,-0.7842572288265433
50,50,50,02-20,7.093066294490625,-0.8529192428556559,-0.11370135360413852
51,51,51,02-21,8.042290982468156,0.20482949181344529,-0.1713832416016772
52,52,52,02-22,9.874457433530843,2.2464659661490187,-0.0942848194514546
53,53,53,02-23,7.319296318698123,-0.6008245334781608,0.2987774634095716
54,54,54,02-24,7.5126977278085265,-0.3853117066830448,0.6338422352455105
55,55,55,02-25,8.917791114857723,1.1804248055118305,0.6645788568832655
56,56,56,02-26,8.897190902199444,1.1574693881599776,0.2729803613438832
57,57,57,02-27,8.207789417742818,0.3892492216399744,0.2722990980406164
58,58,58,02-28,7.765932331732677,-0.10312500708727522,0.2766256183249409
59,59,59,02-29,7.3156281208060605,-0.6049121132977614,-0.10517825091077612
60,60,60,03-01,7.535993467518586,-0.35935258497709816,-0.34303511438381995
61,61,61,03-02,6.862004253015164,-1.1103984099024713,-0.3633379526245639
62,62,62,03-03,7.616473093064108,-0.2696717926782853,-0.4368523734724129
63,63,63,03-04,8.098470703406615,0.2674321921955104,-0.5746510846808751
64,64,64,03-05,7.3701008781711925,-0.5442115321743688,-0.3909131237604307
65,65,65,03-06,6.5736639792475575,-1.431704380548535,-0.5009636030658537
66,66,66,03-07,8.52531315890388,0.743075180545568,-0.5790063931369511
67,67,67,03-08,6.269447844541763,-1.7707012857350095,-0.9457953942123059
68,68,68,03-09,7.196259063251206,-0.7379285331048697,-1.0724624385600758
69,69,69,03-10,6.1235299805991605,-1.9333018142566167,-0.9169630285486022
70,70,70,03-11,6.6880741451267225,-1.30421379826099,-1.2442131994780197
71,71,71,03-12,7.4109358611846625,-0.4987079204796922,-1.0873898299444191
72,72,72,03-13,6.763265531468541,-1.2204258450309364,-0.9946460836955524
73,73,73,03-14,7.113848461440743,-0.8297610685334054,-0.8548007043815131
74,74,74,03-15,7.695629002686705,-0.1814660556116708,-0.3662937417489368
75,75,75,03-16,6.876514213207082,-1.094229538372381,-0.6347698526064316
76,76,76,03-17,9.318393732272273,1.6268279775344685,-0.5465772159101404
77,77,77,03-18,5.9653516073522965,-2.109564585624661,-0.33176090872955105
78,78,78,03-19,7.238130451497822,-0.6912700248531894,-0.17286569605936508
79,79,79,03-20,8.270506572044505,0.4591367745501306,0.029866160552784942
80,80,80,03-21,8.551185263211082,0.7719052204094451,-0.09444727090989584
81,81,81,03-22,7.968104741439525,0.12216160130051912,0.3397618942186432
82,82,82,03-23,8.64903980544298,0.8809473887583835,0.4362884956279771
83,83,83,03-24,8.303309833783418,0.4956904051465733,0.4508495082065085
84,84,84,03-25,7.757868817148357,-0.1121104163971858,0.2394093402655353
85,85,85,03-26,8.348908968578597,0.5465028500213189,0.3516228351428783
86,86,86,03-27,7.4127056553722275,-0.4967357872363941,0.1637552112526634
87,87,87,03-28,8.572307702902595,0.7954425705645768,0.2428250609060829
88,88,88,03-29,7.637484333959159,-0.2462583545829057,0.272209087165122
89,89,89,03-30,8.729053968882821,0.97010950306709,0.4448038465784073
90,90,90,03-31,7.9160843303967985,0.06419374115704897,0.4538077457729655
91,91,91,04-01,9.278229144235727,1.5820714065010308,0.16723406220010265
92,92,92,04-02,7.461186299915142,-0.4427123920690447,0.18522155172963906
93,93,93,04-03,7.029278778606387,-0.9239995308726002,-0.1397675006967208
94,94,94,04-04,7.734336271909326,-0.13833341740568747,0.046811591220010884
95,95,95,04-05,6.979181120401293,-0.979824811491069,-0.25832996125923297
96,96,96,04-06,8.920701823207292,1.1836682926574391,-0.01745144201144616
97,97,97,04-07,7.635223284067804,-0.2487779083744322,-0.10271573292416747
98,98,98,04-08,8.758173929089661,1.0025587234176765,-0.019528683188648636
99,99,99,04-09,6.570181259784553,-1.4355852763489283,0.043559860866627255
100,100,100,04-10,8.18224908186606,0.3607888810074257,-0.3019161926830036
101,101,101,04-11,7.3188754253889154,-0.6012935471594137,-0.2931533381656453
102,102,102,04-12,7.060518652747933,-0.8891880286403463,-0.37794831169852455
103,103,103,04-13,7.682406046319753,-0.196200781270282,-0.17314875930838447
104,104,104,04-14,8.301603405359428,0.4937888822204001,-0.19217650606422693
105,105,105,04-15,7.67290510058187,-0.2067879620080876,-0.02986815060033447
106,106,106,04-16,8.079795977162245,0.2466224004723709,0.11795603787729896
107,107,107,04-17,8.192809430819175,0.3725565856239411,0.003945981949795721
108,108,108,04-18,7.856464029475478,-0.002242897774545529,-0.07681823986162457
109,109,109,04-19,7.068529671617547,-0.8802611168353016,-0.06889049347087496
110,110,110,04-20,7.8667360834561215,0.009203551351878256,0.028985951214816768
111,111,111,04-21,7.7155913020254205,-0.15922148366358987,-0.0969286889172586
112,112,112,04-22,8.606802446403867,0.8338810685865213,-0.17304204813881546
113,113,113,04-23,7.514833947188486,-0.3829312551685111,-0.07209191102355961
114,114,114,04-24,7.446638837783202,-0.4589230531038865,-0.15493669704530116
115,115,115,04-25,7.612086147349915,-0.2745602941437666,-0.019464451333680712
116,116,116,04-26,7.420666160129841,-0.48786516477857106,-0.1599710523911153
117,117,117,04-27,8.445028809915932,0.6536119906061327,-0.09555239122168374
118,118,118,04-28,7.850257927789527,-0.009158537758086293,-0.0728076194614695
119,119,119,04-29,7.861690142110504,0.0035807118480782885,-0.06844416535257634
120,120,120,04-30,7.569105912446054,-0.32245442254260104,-0.006131849760523454
121,121,121,05-01,7.635580753748933,-0.24837956949040765,-0.1332833340596735
122,122,122,05-02,7.756180936293732,-0.11399127122625367,0.004904288794492526
123,123,123,05-03,7.7603936557221616,-0.10929691518876747,0.020088276416843704
124,124,124,05-04,8.594316127360736,0.8199671993669098,0.2121691281957332
125,125,125,05-05,7.943446888910621,0.09468463758218536,0.18725048158324206
126,126,126,05-06,8.603347111439197,0.8300306881307361,0.26759437393458524
127,127,127,05-07,7.501408655327295,-0.3978914491653547,0.05189025849329346
128,128,128,05-08,8.188785033931131,0.36807208288180543,-0.2283409852302297
129,129,129,05-09,6.598955225416975,-1.403521607836518,-0.3611726815685139
130,130,130,05-10,7.085437471212412,-0.861420262974229,-0.5232579245316674
131,131,131,05-11,7.2282271696470755,-0.7023055404475201,-0.6246685087768243
