,unnamed: 0,unnamed: 0,mth_day,video games,video games_norm,video games_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.004360718646432936,-1.0436339907207737,
2,2,2,01-03,0.029848367286790925,-0.5930663104510244,
3,3,3,01-04,0.06476363474202941,0.024161715770059825,
4,4,4,01-05,0.12606678687571807,1.1078716899558798,-0.38448681150040603
5,5,5,01-06,0.02484406927171363,-0.6815317071554345,-0.3973348574471343
6,6,6,01-07,7.930164461608259e-18,-1.1207222664011434,-0.4093024291882516
7,7,7,01-08,7.930164461608259e-18,-1.1207222664011434,-0.3178580666298199
8,8,8,01-09,0.025786487880350702,-0.6648717408977277,-0.28276817181363856
9,9,9,01-10,0.09580050514030723,0.5728278911206499,-0.20002802926401286
10,10,10,01-11,0.1379765480379014,1.318411058852968,-0.03814265033523567
11,11,11,01-12,0.05292666517156315,-0.18509085185768034,0.18000719768353782
12,12,12,01-13,0.05494505494505498,-0.14940999282848025,0.2600556693266138
13,13,13,01-14,0.07404161799516408,0.1881768217114977,0.032551371879583166
14,14,14,01-15,0.05295551143146175,-0.184580911039272,-0.2563057426623385
15,15,15,01-16,0.018583920133190542,-0.7921978935615337,-0.3539910746049117
16,16,16,01-17,0.03993637829064699,-0.41473162839856176,-0.4545953033717502
17,17,17,01-18,0.019771565146921518,-0.7712028435131199,0.3128982240651917
18,18,18,01-19,0.02079926047073883,-0.7530353654295108,0.21269720929641248
19,19,19,01-20,0.33453440810408336,4.793137986333148,0.21658978875088075
20,20,20,01-21,0.018946570670708724,-0.7857869996519475,0.272359725288174
21,21,21,01-22,0.01990508942852171,-0.7688424168347241,0.3211893733877784
22,22,22,01-23,0.058865093456900275,-0.08011200917480232,0.6891176835707874
23,23,23,01-24,0.0363446968005272,-0.478224954915493,-0.2548769838948553
24,24,24,01-25,0.14567675930737414,1.4545344956685422,-0.17079796286941462
25,25,25,01-26,0.014135869243088937,-0.8708300184607068,-0.17575812675784538
26,26,26,01-27,0.04748359149704138,-0.2813128734993034,-0.3491931696289017
27,27,27,01-28,0.018221574344023488,-0.7986034001653087,-0.35163622923868804
28,28,28,01-29,1.5067312477055702e-16,-1.120722266401141,-0.6723013928399246
29,29,29,01-30,0.03551550490326015,-0.4928833125742103,-0.7139501008299971
30,30,30,01-31,0.03684071031009819,-0.4694564859388774,-0.8538516663136365
31,31,31,02-01,1.4274296030894868e-16,-1.1207222664011411,-0.8718321730987721
32,32,32,02-02,1.4274296030894868e-16,-1.1207222664011411,-0.8028871892479934
33,33,33,02-03,0.012118861796500216,-0.9064864408761222,-0.8452077792560074
34,34,34,02-04,0.02340042041433301,-0.7070523632964683,-0.9377603592362372
35,35,35,02-05,0.02115159409992251,-0.7468068526222942,-0.9377603592362372
36,36,36,02-06,0.0054277029960921935,-1.024771965820255,-0.8923065811352845
37,37,37,02-07,1.4274296030894868e-16,-1.1207222664011411,-0.822358866956689
38,38,38,02-08,0.015427337241592247,-0.8479995977954259,-0.8418754893297061
39,39,39,02-09,0.03585961605272497,-0.4868001558045498,-0.8660580304368786
40,40,40,02-10,0.01677633925442105,-0.8241520975345716,-0.7207846187655624
41,41,41,02-11,0.012943866764464913,-0.8919020992653282,-0.6616691714039303
42,42,42,02-12,0.05473453749315831,-0.15313149579235846,-0.5254769470171413
43,43,43,02-13,0.02006420545746404,-0.7660295822313484,-0.5109440684353878
44,44,44,02-14,0.061651951851869176,-0.03084625147469237,-0.5516508802816776
45,45,45,02-15,0.04079217894054187,-0.3996028843140284,-0.5897875748043132
46,46,46,02-16,0.002960156296252586,-1.0683929686123117,-0.6314015347603689
47,47,47,02-17,1.4274296030894868e-16,-1.1207222664011411,-0.520795662894872
48,48,48,02-18,0.04061046198123234,-0.4028152555286929,-0.5008009887409024
49,49,49,02-19,0.057604629102326776,-0.10239435103836733,-0.5316141269044926
50,50,50,02-20,0.06843828720388186,0.08912179344912516,-0.3289714763050605
51,51,51,02-21,0.03033397956125825,-0.5844817132955694,-0.2403819465510836
52,52,52,02-22,0.07173852062460839,0.14746293498428126,-0.2855732311815675
53,53,53,02-23,0.03006791973492792,-0.5891850878772799,-0.3415049220456445
54,54,54,02-24,0.0252722169001124,-0.6739629633115961,-0.4254850999778341
55,55,55,02-25,0.03862101336116335,-0.4379844962228295,-0.32517877499419034
56,56,56,02-26,0.03993481443003891,-0.4147592741440123,-0.13173467463944386
57,57,57,02-27,0.06437866336181076,0.017356236606293287,0.1931351599334233
58,58,58,02-28,0.13739483123845636,1.3081275371127603,0.3493517701129476
59,59,59,02-29,0.14033106411963706,1.3600339195599234,0.2355621417498957
60,60,60,03-01,0.07829325120501092,0.2633366977655493,0.4731374177698373
61,61,61,03-02,1.5067312477055702e-16,-1.120722266401141,0.5106395579693254
62,62,62,03-03,0.12056956156335055,1.0106923819756366,0.1484326728912481
63,63,63,03-04,0.07710715785249968,0.2423690778032218,-0.040169454725160425
64,64,64,03-05,0.014459224985540947,-0.865113773355703,0.32973745251098824
65,65,65,03-06,0.07631815366898408,0.2284211538614722,0.7089121082152339
66,66,66,03-07,0.20384230002669293,2.482778141182441,0.677195214728817
67,67,67,03-08,0.12869458890792165,1.1543256678243332,0.7689580157084387
68,68,68,03-09,0.10980462116645194,0.8203910210571352,0.8105161312443977
69,69,69,03-10,0.1082521085274812,0.7929458836809523,0.6845550376765422
70,70,70,03-11,0.028564346502048064,-0.6157650801399498,0.4161130204193261
71,71,71,03-12,0.03356605800214839,-0.5273454075456607,0.2242260031276362
72,72,72,03-13,0.1127311602476748,0.8721260376391446,0.21875893246097888
73,73,73,03-14,0.06356676341743557,0.0030035640741937816,0.4094100778612565
74,74,74,03-15,0.10794905829749052,0.7875885970571912,0.4107424765052333
75,75,75,03-16,0.17296047026263595,1.9368527560826183,0.4985970120526817
76,76,76,03-17,0.02901657212728028,-0.6077706882760889,0.3506174202778591
77,77,77,03-18,0.06338451544882485,-0.0002181942609702008,0.4558652480152015
78,78,78,03-19,0.06250582887669523,-0.015751513009790722,0.4099012045584262
79,79,79,03-20,0.0992886285799477,0.6344905304982487,-0.07837234350422546
80,80,80,03-21,0.09234853334618824,0.5118043363165392,-0.16386427319173394
81,81,81,03-22,0.007236937328122961,-0.9927885322932916,-0.3506149518817622
82,82,82,03-23,2.220446049250313e-16,-1.1207222664011398,-0.4004155199242016
83,83,83,03-24,2.220446049250313e-16,-1.1207222664011398,-0.5989222332656762
84,84,84,03-25,0.045603160053276436,-0.314554921264427,-0.2321404857259201
85,85,85,03-26,0.03191403092521936,-0.5565497495505994,0.12372250660662885
86,86,86,03-27,0.2168368806247994,2.7124948215550764,0.5071329911070075
87,87,87,03-28,0.12801938103000934,1.142389421702002,0.5071329911070076
88,88,88,03-29,0.13013225948374169,1.1797406406011322,0.5401858020870633
89,89,89,03-30,2.696255916946808e-16,-1.1207222664011391,0.7012101472955424
90,90,90,03-31,0.0568215203981392,-0.1162380553840929,0.34930287558494905
91,91,91,04-01,0.08656684486997905,0.4095963217002751,0.1983339478077866
92,92,92,04-02,0.09739703678189264,0.6010511912915157,0.030896314855365037
93,93,93,04-03,0.07677944764873912,0.2365758550390273,0.11357453312304452
94,94,94,04-04,0.0733027298293786,0.1751148428866025,0.2381294878632189
95,95,95,04-05,0.028061578355853642,-0.6246529567950619,0.28205797670077154
96,96,96,04-06,0.09909636249421662,0.6310916730569534,0.15207549513747665
97,97,97,04-07,0.10147648803111016,0.6731672547255906,0.2004339728005735
98,98,98,04-08,0.05328005328005357,-0.17884369808825346,0.008430967221825533
99,99,99,04-09,0.09319266068774412,0.5267267210176083,0.0766424872136251
100,100,100,04-10,0.008135537085051816,-0.9769031905858854,-0.0712691200669219
101,101,101,04-11,0.051213055892834015,-0.21538383684426468,-0.23357925730804205
102,102,102,04-12,0.0488941055466229,-0.2563779706263287,-0.2886578881043849
103,103,103,04-13,0.04638726707820145,-0.30069356872113034,-0.5441441939342747
104,104,104,04-14,0.03458597222450069,-0.5093154828663103,-0.4575739825879539
105,105,105,04-15,0.006478781988986372,-1.0061911139617312,-0.056090018809776966
106,106,106,04-16,0.03751808571608863,-0.4574819225079605,0.1263682562311158
107,107,107,04-17,0.1874795834527792,2.193519945824797,0.04022525622340187
108,108,108,04-18,0.11082174851005856,0.8383716796190279,0.04855501875648597
109,109,109,04-19,0.017149717029669314,-0.8175515687674141,0.03733676233299251
110,110,110,04-20,0.03741315317863075,-0.4593369076678057,-0.061390160398904825
111,111,111,04-21,0.002671225558286433,-1.073500652502692,-0.5842310259774798
112,112,112,04-22,0.004009462331101692,-1.0498434588993444,-0.8411761075789421
113,113,113,04-23,0.0100236558277538,-0.9435252476466528,-0.7590000826115059
114,114,114,04-24,0.023612750885478453,-0.7032988099897461,-0.6653609595635229
115,115,115,04-25,0.04504084738918429,-0.3244954189627956,-0.4073769576560967
116,116,116,04-26,0.06919494097764975,0.1024978306200912,-0.1216039345625466
117,117,117,04-27,0.0902328401620678,0.4744033589418655,-0.14484055583516806
118,118,118,04-28,0.10100286939226508,0.664794679661956,-0.1066366321559183
119,119,119,04-29,0.002136980446629183,-1.0829449752823816,-0.09117557637587057
120,120,120,04-30,0.03657943570632682,-0.4740752679142479,-0.2290826813331285
121,121,121,05-01,0.05028844025374452,-0.2317290842825092,-0.4344625290605804
122,122,122,05-02,0.022388283641883173,-0.7249447991234566,-0.6009202232245096
123,123,123,05-03,0.0205254515599346,-0.7578757274228451,-0.23638329627568544
124,124,124,05-04,0.044505937968408,-0.3339514853216192,-0.2645566558266592
125,125,125,05-05,0.1258634195682053,1.1042765864105637,-0.15373880792502098
126,126,126,05-06,0.02701719606023692,-0.6431154252200902,-0.19126734307628585
127,127,127,05-07,0.08790081008071397,0.4331780031273201,-0.22094512996624932
128,128,128,05-08,0.009650830515860766,-0.9501160100310456,-0.2395329557215293
129,129,129,05-09,0.010452598519672729,-0.9359424487626264,-0.6103660978568132
130,130,130,05-10,0.03819709702062666,-0.4454784398532989,-0.5758458143238269
131,131,131,05-11,2.5376526277146434e-16,-1.1207222664011391,-0.8348291925785701
132,132,132,05-12,0.03873362708068928,-0.4359937240221724,-0.8086009731578082
133,133,133,05-13,2.616954272330726e-16,-1.1207222664011391,-0.6577863632378549
134,134,134,05-14,0.0185528756957331,-0.7927466935064736,-0.6829304093814552
135,135,135,05-15,0.06164015531697055,-0.031054789242906864,-0.22272593929930964
136,136,136,05-16,0.029663028001898687,-0.5963427167149009,0.2472406731218092
137,137,137,05-17,0.15619668719896068,1.6405045540917342,0.5213882283722504
