,unnamed: 0,unnamed: 0,mth_day,virtual reality,virtual reality_norm,virtual reality_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.19567134729056088,-1.0471983107897431,
2,2,2,01-03,0.4161397092513561,0.4435590709289734,
3,3,3,01-04,0.2596560584731416,-0.6145481125289413,
4,4,4,01-05,0.3220857286633665,-0.19241275103479427,-0.5602181644826641
5,5,5,01-06,0.15033245907207834,-1.3537696559455696,-0.4572300774210834
6,6,6,01-07,0.2622602394620685,-0.5969392275259101,-0.7352221250281553
7,7,7,01-08,0.2870569012420625,-0.42926978842025815,-0.4161284943323022
8,8,8,01-09,0.16946596290344992,-1.2243932147134589,-0.24429899434875466
9,9,9,01-10,0.5428009253750785,1.3000136716461774,-0.0037077991812903095
10,10,10,01-11,0.4745570919950954,0.8385642488664911,0.030018441867991675
11,11,11,01-12,0.3638188949652499,0.08977751505921641,0.2850879077810515
12,12,12,01-13,0.2921869165072261,-0.3945817812302181,0.3074250442983059
13,13,13,01-14,0.5133905006285702,1.1011470070581009,0.10318662855779376
14,14,14,01-15,0.18928662034608248,-1.0903703956099322,-0.11740724632801512
15,15,15,01-16,0.3615718017633006,0.07458317720310446,-0.236006834453698
16,16,16,01-17,0.27881509862557186,-0.4849990004483624,-0.27609591305399234
17,17,17,01-18,0.25858061577665997,-0.6218200136948807,-0.05796494310707001
18,18,18,01-19,0.2566142327161135,-0.6351162528319846,0.052288415024267364
19,19,19,01-20,0.7069470574239057,2.409932826739635,0.09445131427752357
20,20,20,01-21,0.2871189473201815,-0.428850246821908,0.3877984403605041
21,21,21,01-22,0.3989846716824812,0.3275605727226416,0.3697479392056126
22,22,22,01-23,0.539114035930279,1.2750837560495207,0.29562776019747844
23,23,23,01-24,0.2425636657176144,-0.7301230206242295,-0.3859360936142415
24,24,24,01-25,0.19084435766646207,-1.0798373268807893,-0.26995382932751216
25,25,25,01-26,0.10216749397147053,-1.6794502961306847,-0.587148221437979
26,26,26,01-27,0.3900347677106949,0.26704333889846754,-1.0614621976213323
27,27,27,01-28,0.11752507707915315,-1.5756057799401586,-1.0792374747947118
28,28,28,01-29,0.11823578974499872,-1.5708001010506016,-0.9466490168512964
29,29,29,01-30,0.22679093318633226,-0.8367746836645035,-0.8995999884910568
30,30,30,01-31,0.30849553483115016,-0.2843065792202979,-1.015983042653498
31,31,31,02-01,0.14391602666350398,-1.3971561259692475,-0.8302176101863002
