,unnamed: 0,unnamed: 0,mth_day,visceral,visceral_norm,visceral_ravg
0,0,0,01-01,,,
1,1,1,01-02,7.283335862385348,-0.849590518269413,
2,2,2,01-03,8.118950515131521,-0.007272534676786822,
3,3,3,01-04,7.006143251332219,-1.1290067784339763,
4,4,4,01-05,6.404038364383148,-1.7359417724763346,-1.2705226637195308
5,5,5,01-06,6.742407601572228,-1.3948581250771364,-1.6011127641788871
6,6,6,01-07,5.63964586762139,-2.5064662533835373,-2.1051949945954247
7,7,7,01-08,5.3155806627271405,-2.83313112102555,-1.8394843572038642
8,8,8,01-09,5.1185266410373345,-3.0317659171760116,-1.7235692868065504
9,9,9,01-10,8.587719613132629,0.4652570459153883,-1.5977093665656965
10,10,10,01-11,7.093993938298175,-1.0404513500924513,-1.0820318692278421
11,11,11,01-12,7.491557416216952,-0.6396986036320129,-0.6021805941823882
12,12,12,01-13,8.709087678865364,0.5875987306435877,-0.19437538839712304
13,13,13,01-14,8.171775812616085,0.04597652924717263,-0.24384252757735994
14,14,14,01-15,7.545885515415661,-0.5849346824644198,-0.23252385238902204
15,15,15,01-16,8.293278792917883,0.1684542108339667,-0.2282192164803192
16,16,16,01-17,7.161365532075927,-0.9725392989624236,-0.17615179257319
17,17,17,01-18,7.517179688874892,-0.613870788179796,-0.1591975595345822
18,18,18,01-19,9.019006046002488,0.9000032740863627,-0.08707159042939902
19,19,19,01-20,8.272691660282367,0.14770192747881938,-0.21213340858645527
20,20,20,01-21,7.975197374844919,-0.15217886783332088,-0.35338065745199404
21,21,21,01-22,7.548879482063406,-0.5819166981083712,-0.5146300305379954
22,22,22,01-23,6.320626477862322,-1.820022792155656,-0.9283517372724198
23,23,23,01-24,6.557382974179816,-1.5813670266958042,-1.1536826855526816
24,24,24,01-25,6.556430673942248,-1.5823269663201844,-1.4327938285646682
25,25,25,01-26,6.931465336486528,-1.2042837622027514,-1.4196431799265197
26,26,26,01-27,6.3138578423506475,-1.8268457259052395,-0.9285781716578542
27,27,27,01-28,7.627155441327275,-0.5030128062794811,-0.6426604661418905
28,28,28,01-29,9.243568580630058,1.1263672574563377,-0.4617191366553807
29,29,29,01-30,8.259236873983907,0.13413920639997845,-0.2987862585462245
30,30,30,01-31,7.6334388524552095,-0.4966789894011254,-0.2105796353678063
31,31,31,02-01,7.901282695352013,-0.2266864935478141,0.056794669712776365
32,32,32,02-02,6.838885788324982,-1.2976059868347305,-0.2560387041384757
33,33,33,02-03,9.218634370509546,1.101233024204015,-0.22295358716410849
34,34,34,02-04,7.381505871652773,-0.7506329856511748,-0.26632637212854776
35,35,35,02-05,8.456167788936138,0.3326499082461818,-0.4700482025716608
36,36,36,02-06,7.3752731571762435,-0.7569156991877616,-0.06361423636190296
37,37,37,02-07,6.688679261125442,-1.4490174762064922,-0.2819402375086625
38,38,38,02-08,9.258082700802657,1.1409978104238168,-0.25209790716241365
39,39,39,02-09,7.9191032490991615,-0.20872298267654268,-0.3730661517786293
40,40,40,02-10,7.5591349072081435,-0.5715790035736815,-0.3703992218306187
41,41,41,02-11,7.736134454585433,-0.39315955945111225,-0.2365342164237465
42,42,42,02-12,7.391147393171304,-0.7409141194996977,-0.11496190713767775
43,43,43,02-13,7.4854773505892,-0.6458274437652587,-0.366523403505609
44,44,44,02-14,9.981711579585514,1.8704316661402287,-0.4455400109453149
45,45,45,02-15,6.421746123692273,-1.71809196088413,-0.5834252702741122
46,46,46,02-16,7.088808240036973,-1.0456786482119171,-0.7477068386409579
47,47,47,02-17,6.915406805380408,-1.220471115423896,-0.7595444153144535
48,48,48,02-18,6.413302291600847,-1.7266035297007714,-1.099753352081279
