,unnamed: 0,unnamed: 0,mth_day,wedding,wedding_norm,wedding_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.6835607791955205,0.055170826652098125,
2,2,2,01-03,1.1855304583798707,-1.6203768544138681,
3,3,3,01-04,1.286811620547174,-1.2796317043451693,
4,4,4,01-05,0.9541770186990616,-2.3987305071170835,-1.7066259430313169
5,5,5,01-06,0.7500802493875283,-3.0853832152753484,-2.0328183621146745
6,6,6,01-07,1.0992054748730584,-1.910804203688528,-1.9756446591642
7,7,7,01-08,1.1018272351389304,-1.90198368784805,-1.86449583750896
8,8,8,01-09,1.2874943879453808,-1.2773346367110154,-1.4435509502704926
9,9,9,01-10,1.4850351050809851,-0.6127387744137319,-0.8459590434874666
10,10,10,01-11,1.7048926907366666,0.12693881631371984,-0.69992868683978
11,11,11,01-12,1.815829290426972,0.5001682254228073,-0.31437367633979235
12,12,12,01-13,1.3596369010577285,-1.0346220638024086,-0.06343574037657633
13,13,13,01-14,1.7894283857641282,0.4113463751518761,0.09646541664184176
14,14,14,01-15,1.7350186291167324,0.2282929790682807,0.22177218511686733
15,15,15,01-16,1.7702038010073686,0.34666816769677666,0.2386002494355405
16,16,16,01-17,1.9283655437358247,0.8787794271638729,0.2956980476790078
17,17,17,01-18,1.8458405626791703,0.6011366113348462,0.1792609860249782
18,18,18,01-19,1.4614654617071168,-0.6920352743416046,0.02049717816280204
19,19,19,01-20,1.5817738218540311,-0.28727599477230165,-0.1147380778610288
20,20,20,01-21,1.4518782885928123,-0.7242898681047762,-0.2757310542635352
21,21,21,01-22,1.5290244229297951,-0.4647433684462083,-0.4658770023765588
22,22,22,01-23,1.6412496904795433,-0.08717843125116546,-0.6322975242642542
23,23,23,01-24,1.5067331223694604,-0.5397390773432961,-0.8547167151576862
24,24,24,01-25,1.1646700908228655,-1.6905584056677767,-0.9535378470733494
25,25,25,01-26,1.1851100840877329,-1.6217911401328944,-0.9971735326407536
26,26,26,01-27,1.2756400809160984,-1.3172166595987551,-0.7602305098771748
27,27,27,01-28,1.4512042759018595,-0.7265574818506328,-0.6323181927213146
28,28,28,01-29,2.0638153183352714,1.3344797053303072,-0.4541464947686302
29,29,29,01-30,1.7348527267326552,0.2277348255918646,-0.1886843205478119
30,30,30,01-31,1.4824225805706672,-0.6215282179516709,-0.23599187145722045
31,31,31,02-01,1.6585369401023746,-0.029018094807984424,-0.26702764589958594
32,32,32,02-02,1.1912715069053854,-1.6010619650552067,-0.5513195739039353
33,33,33,02-03,1.395854887005472,-0.912772128504826,-0.6476824573860372
34,34,34,02-04,1.5568073649027674,-0.37127186269578816,-0.5883858419025925
35,35,35,02-05,1.5629985742631276,-0.3504424753007476,-0.5297976546319486
36,36,36,02-06,1.5881725252587748,-0.2657485250510022,-0.3051876485474625
37,37,37,02-07,1.7630234696071976,0.32251102881587884,-0.06326638574012149
38,38,38,02-08,1.5918423578076852,-0.2534019285482906,-0.0593045426909121
39,39,39,02-09,1.827298738432307,0.5387554483392202,-0.06110543248409196
40,40,40,02-10,1.5638729398921836,-0.3475008044005319,-0.4150295660098415
41,41,41,02-11,1.559786856453174,-0.3612478140598268,-0.3988012354790809
42,42,42,02-12,0.9569820730046492,-2.3892933262054994,-0.2582008816965167
43,43,43,02-13,1.7919651729745243,0.4198810120004432,-0.2430986071273118
44,44,44,02-14,1.8425898838580672,0.5902001941470942,-0.21243292097709726
45,45,45,02-15,1.8542322267492568,0.6293690957544499,-0.3075031108598353
46,46,46,02-16,1.6185623110775162,-0.163506687499245,0.04604297306841887
47,47,47,02-17,1.3902381016107603,-0.9316689533562548,-0.03178573214145628
48,48,48,02-18,1.5874983093073494,-0.2680168226359743,-0.3260068351124501
49,49,49,02-19,1.6531649867583442,-0.04709121925880775,-0.2276137467942169
50,50,50,02-20,1.3178741794019928,-1.1751264236788688,-0.3227023149536245
51,51,51,02-21,2.029707058871004,1.2197276256638492,-0.1796099262112235
52,52,52,02-22,1.4489807803047154,-0.7340380964556906,-0.2746642948036763
53,53,53,02-23,1.6454299379647743,-0.07311462090184861,-0.3758882686025081
54,54,54,02-24,1.4179777702502534,-0.8383430341906912,-0.07049407782298385
55,55,55,02-25,1.4726415362533902,-0.6544350620517981,-0.27826891112175794
56,56,56,02-26,1.8625160366091853,0.6572387209982766,-0.2715756563674401
57,57,57,02-27,1.6591601575042532,-0.02692137412879569,-0.22171209270709585
58,58,58,02-28,1.4609175715411418,-0.6938785679297836,-0.054061765319463134
59,59,59,02-29,1.7343569206608704,0.22606676106021745,-0.054817941605499576
60,60,60,03-01,1.716966383742623,0.16755893013510495,-0.3756928983278016
61,61,61,03-02,1.4712929668658992,-0.6589721197680168,-0.209137365143072
62,62,62,03-03,1.290265687267474,-1.268011019335535,0.10320469453925296
63,63,63,03-04,1.9561963083567573,0.9724118249795816,-0.08685933155796259
64,64,64,03-05,2.017950300405698,1.180173790164166,-0.3462904959976851
65,65,65,03-06,1.3953955805723923,-0.9143173955230758,-0.29442521387639364
66,66,66,03-07,1.2542952672514691,-1.38902805650323,-0.06388580110537194
67,67,67,03-08,1.5637898264394607,-0.3477804270402681,-0.08406832688180034
68,68,68,03-09,1.7014110781164848,0.1152254572905954,-0.36648157037509693
69,69,69,03-10,1.920202669139364,0.8513166703210112,-0.24651605551721936
70,70,70,03-11,1.5142928043561399,-0.5143056707956141,-0.04959535417064953
71,71,71,03-12,1.609342809385863,-0.1945243063758101,0.04065086458697215
72,72,72,03-13,1.6054848436811249,-0.20750384842381087,0.15222672139169294
73,73,73,03-14,1.7247354818385259,0.193696885505462,-0.28637963164470376
74,74,74,03-15,1.900396139733057,0.7846805981189201,-0.2662526327681524
75,75,75,03-16,1.1379894315828063,-1.7803214478973692,-0.5797666373612208
76,76,76,03-17,1.5501874165625846,-0.3935436775363057,-0.7409450969256146
77,77,77,03-18,1.0502200268398578,-2.07560833393422,-0.8725425171954441
78,78,78,03-19,1.3180381986258465,-1.1745746058101747,-1.0279772991186251
79,79,79,03-20,1.4900438421695208,-0.5958876361135153,-0.6714592849985546
80,80,80,03-21,1.623192804315479,-0.14792809342016647,-0.5346975480360486
