,timestamp,pg_views,rolling_avg,pg_view_action,pg_view_christmas,pg_view_halloween,pg_view_valentine,pg_view_comedy,pg_view_romance,horror
0,2006-11-29 15:42:00,157,,36,0,1,0,27,26,8
1,2006-11-30 15:42:00,92,,37,0,0,0,32,15,9
2,2006-12-01 15:42:00,87,112.0,22,0,0,0,17,9,5
3,2006-12-02 15:42:00,135,104.66666666666669,25,4,0,0,26,15,6
4,2006-12-03 15:42:00,213,145.0,96,1,1,0,61,37,17
5,2006-12-04 15:42:00,103,150.33333333333334,27,4,0,0,19,14,2
6,2006-12-05 15:42:00,64,126.66666666666669,29,0,0,0,17,6,6
7,2006-12-06 15:42:00,140,102.33333333333331,33,0,0,0,31,24,10
8,2006-12-07 15:42:00,192,132.0,55,1,1,0,40,23,17
9,2006-12-08 15:42:00,186,172.66666666666663,50,2,0,0,37,24,10
10,2006-12-09 15:42:00,167,181.66666666666663,31,4,3,0,46,26,11
11,2006-12-10 15:42:00,118,157.0,34,0,1,0,22,13,7
12,2006-12-11 15:42:00,99,128.0,22,0,0,0,17,10,5
13,2006-12-12 15:42:00,184,133.66666666666666,58,2,4,0,47,33,14
14,2006-12-13 15:42:00,135,139.33333333333334,46,2,0,0,40,17,8
15,2006-12-14 15:42:00,86,135.0,19,1,0,0,18,8,13
16,2006-12-15 15:42:00,75,98.66666666666669,20,0,0,0,18,14,5
17,2006-12-16 15:42:00,114,91.66666666666669,21,1,1,0,22,13,2
18,2006-12-17 15:42:00,66,85.0,17,4,2,0,15,7,9
19,2006-12-18 15:42:00,95,91.66666666666669,16,1,0,0,9,10,5
20,2006-12-19 15:42:00,104,88.33333333333331,30,0,0,0,14,9,10
21,2006-12-20 15:42:00,68,89.0,20,0,0,0,16,10,7
22,2006-12-21 15:42:00,66,79.33333333333333,11,0,0,0,3,8,5
23,2006-12-22 15:42:00,97,77.0,14,2,2,0,18,19,9
24,2006-12-23 15:42:00,65,76.0,15,0,0,0,14,5,3
25,2006-12-24 15:42:00,59,73.66666666666667,15,2,0,0,14,9,2
26,2006-12-25 15:42:00,116,80.0,22,1,0,0,32,14,7
27,2006-12-26 15:42:00,146,107.0,36,2,0,0,38,22,8
28,2006-12-27 15:42:00,119,127.0,28,0,0,0,25,15,6
29,2006-12-28 15:42:00,141,135.33333333333334,34,4,1,0,38,26,7
30,2006-12-29 15:42:00,124,128.0,41,0,0,0,32,14,6
31,2006-12-30 15:42:00,211,158.66666666666666,66,8,1,0,64,32,9
32,2006-12-31 15:42:00,67,134.0,16,2,1,0,10,10,1
33,2007-01-01 15:42:00,153,143.66666666666666,43,3,2,0,40,29,12
34,2007-01-02 15:42:00,107,109.0,33,1,0,0,25,11,8
35,2007-01-03 15:42:00,169,143.0,37,1,0,0,32,14,9
36,2007-01-04 15:42:00,117,131.0,37,1,0,0,20,14,11
37,2007-01-05 15:42:00,104,130.0,33,3,0,0,24,13,3
38,2007-01-06 15:42:00,147,122.66666666666669,26,1,0,0,24,16,7
39,2007-01-07 15:42:00,51,100.66666666666669,14,0,1,0,10,7,5
40,2007-01-08 15:42:00,179,125.66666666666669,30,4,1,0,23,17,7
41,2007-01-09 15:42:00,186,138.66666666666666,50,6,0,0,52,28,7
42,2007-01-10 15:42:00,164,176.33333333333337,59,0,2,0,45,29,7
43,2007-01-11 15:42:00,87,145.66666666666666,20,1,0,0,13,8,8
44,2007-01-12 15:42:00,85,112.0,23,1,0,0,11,12,3
45,2007-01-13 15:42:00,51,74.33333333333333,14,1,0,0,9,7,5
46,2007-01-14 15:42:00,141,92.33333333333331,35,0,0,0,37,22,2
47,2007-01-15 15:42:00,111,101.0,36,2,1,0,33,13,8
48,2007-01-16 15:42:00,104,118.66666666666669,26,0,0,0,25,14,3
49,2007-01-17 15:42:00,106,107.0,30,3,0,0,18,14,7
50,2007-01-18 15:42:00,84,98.0,27,0,0,0,25,11,6
51,2007-01-19 15:42:00,160,116.66666666666669,46,0,2,0,32,20,16
52,2007-01-20 15:42:00,99,114.33333333333331,34,4,0,0,17,9,3
53,2007-01-21 15:42:00,122,127.0,33,1,0,0,21,19,9
54,2007-01-22 15:42:00,141,120.66666666666669,50,2,3,0,39,25,18
55,2007-01-23 15:42:00,91,118.0,28,0,0,0,27,19,4
56,2007-01-24 15:42:00,184,138.66666666666666,78,1,0,0,50,35,12
57,2007-01-25 15:42:00,146,140.33333333333334,69,0,1,0,37,25,12
58,2007-01-26 15:42:00,117,149.0,31,1,0,0,30,11,15
59,2007-01-27 15:42:00,141,134.66666666666666,43,8,1,0,37,15,7
60,2007-01-28 15:42:00,163,140.33333333333334,39,4,1,0,35,26,9
